ticker,ours,theirs,source,diff_pct,status
PSNL,16.24,16.24,Nasdaq 歷史 API,+0.00,一致
PSX,261.8,261.75,Nasdaq 歷史 API,+0.02,一致
PTEN,11.42,11.42,Nasdaq 歷史 API,+0.00,一致
PTGX,145.0,144.98,Nasdaq 歷史 API,+0.01,一致
RAL,68.91,68.91,Nasdaq 歷史 API,+0.00,一致
RBRK,113.0,112.96,Nasdaq 歷史 API,+0.04,一致
RGA,245.1,245.13,Nasdaq 歷史 API,-0.01,一致
RIOT,24.18,24.18,Nasdaq 歷史 API,+0.00,一致
RNG,77.3,77.3,Nasdaq 歷史 API,+0.00,一致
RNR,326.3,326.29,Nasdaq 歷史 API,+0.00,一致
ROIV,38.99,38.99,Nasdaq 歷史 API,+0.00,一致
ROKU,154.3,154.33,Nasdaq 歷史 API,-0.02,一致
RVTY,143.6,143.59,Nasdaq 歷史 API,+0.01,一致
SAIC,133.3,133.35,Nasdaq 歷史 API,-0.04,一致
SAN,14.62,14.62,Nasdaq 歷史 API,+0.00,一致
SBLK,31.73,31.73,Nasdaq 歷史 API,+0.00,一致
SCCO,198.1,198.06,Nasdaq 歷史 API,+0.02,一致
SKM,35.7,35.7,Nasdaq 歷史 API,+0.00,一致
SLAB,220.9,220.87,Nasdaq 歷史 API,+0.01,一致
SLF,81.44,81.44,Nasdaq 歷史 API,+0.00,一致
SM,34.75,34.75,Nasdaq 歷史 API,+0.00,一致
SMTC,177.4,177.37,Nasdaq 歷史 API,+0.02,一致
SNDK,1767.0,1766.64,Nasdaq 歷史 API,+0.02,一致
SNOW,339.4,339.39,Nasdaq 歷史 API,+0.00,一致
SNX,279.6,279.59,Nasdaq 歷史 API,+0.00,一致
SSRM,36.61,36.61,Nasdaq 歷史 API,+0.00,一致
STNG,86.21,86.21,Nasdaq 歷史 API,+0.00,一致
STX,877.3,877.325,Nasdaq 歷史 API,-0.00,一致
SU,67.24,67.24,Nasdaq 歷史 API,+0.00,一致
TD,124.0,124.04,Nasdaq 歷史 API,-0.03,一致
TECK,66.76,66.76,Nasdaq 歷史 API,+0.00,一致
TER,381.5,381.54,Nasdaq 歷史 API,-0.01,一致
TEVA,40.06,40.06,Nasdaq 歷史 API,+0.00,一致
TGB,8.67,8.67,Nasdaq 歷史 API,+0.00,一致
TGT,157.7,157.71,Nasdaq 歷史 API,-0.01,一致
THC,261.0,260.97,Nasdaq 歷史 API,+0.01,一致
TIGO,95.11,95.11,Nasdaq 歷史 API,+0.00,一致
TRGP,289.4,289.36,Nasdaq 歷史 API,+0.01,一致
TRV,371.1,371.13,Nasdaq 歷史 API,-0.01,一致
TSM,445.1,445.14,Nasdaq 歷史 API,-0.01,一致
TTE,90.06,90.06,Nasdaq 歷史 API,+0.00,一致
TVTX,62.86,62.86,Nasdaq 歷史 API,+0.00,一致
TWLO,266.1,266.06,Nasdaq 歷史 API,+0.02,一致
TWST,165.8,165.83,Nasdaq 歷史 API,-0.02,一致
TXG,79.1,79.1,Nasdaq 歷史 API,+0.00,一致
UMC,25.43,25.43,Nasdaq 歷史 API,+0.00,一致
VCTR,107.8,107.76,Nasdaq 歷史 API,+0.04,一致
VLO,393.3,393.27,Nasdaq 歷史 API,+0.01,一致
VOD,17.02,17.02,Nasdaq 歷史 API,+0.00,一致
VOYA,100.5,100.53,Nasdaq 歷史 API,-0.03,一致
VSAT,76.38,76.38,Nasdaq 歷史 API,+0.00,一致
VTRS,17.1,17.1,Nasdaq 歷史 API,+0.00,一致
WCC,355.3,355.31,Nasdaq 歷史 API,-0.00,一致
WHD,67.45,67.45,Nasdaq 歷史 API,+0.00,一致
WPM,147.7,147.66,Nasdaq 歷史 API,+0.03,一致
WST,361.8,361.78,Nasdaq 歷史 API,+0.01,一致
XMTR,99.53,99.53,Nasdaq 歷史 API,+0.00,一致
XOM,158.3,158.3,Nasdaq 歷史 API,+0.00,一致
ZETA,31.15,31.15,Nasdaq 歷史 API,+0.00,一致
