ticker,name,close,ret252,rs,above_200ma_pct,in40
DINO,,109.3,1.125,93.13,0.6112,0
DK,,74.37,1.367,94.6,0.5969,0
DOCN,,146.2,2.928,98.53,0.4427,0
DVN,,47.59,0.394,75.6,0.09146,1
ELV,,409.3,0.322,70.73,0.1357,0
ENTG,,143.1,0.4967,80.87,0.1083,0
EQIX,,1057,0.3751,74.47,0.09336,0
EQNR,,42.49,0.8151,89.33,0.2505,0
EWTX,,44.64,1.874,96.8,0.312,0
EXEL,,57.22,0.4146,76.93,0.1829,1
EXPD,,192.2,0.5652,83.8,0.1967,0
FCFS,,216.1,0.4676,79.73,0.08457,0
FCX,,72.16,0.6233,85.6,0.1589,0
FFIV,,450.1,0.3565,73,0.3379,1
FIVE,,236.1,0.5192,81.33,0.1109,0
FIVN,,37.01,0.3924,75.33,0.6873,0
FRO,,49.81,1.398,94.87,0.5732,0
FROG,,92,0.8396,90,0.3689,0
FSLY,,27.42,2.064,97.53,0.4229,0
FTNT,,175.2,1.164,93.47,0.5325,0
GGB,,5,0.6458,86.27,0.1818,1
GH,,173.9,1.957,97.13,0.4414,1
GILD,,150.6,0.3579,73.13,0.1251,1
GOOG,,350.9,0.3942,75.73,0.04442,0
GOOGL,,355,0.4121,76.8,0.05243,1
GSAT,,83.04,1.403,94.93,0.1328,0
HALO,,111.5,0.4534,78.93,0.4642,0
HBM,,26.65,0.989,91.93,0.1078,0
HNGE,,94.45,0.6596,86.73,0.5983,0
HP,,40.29,0.953,91.27,0.1319,0
HPE,,61.75,1.491,95.73,0.7685,0
HSBC,,103.2,0.5535,83.2,0.1526,1
HTFL,,50.33,0.5496,82.73,0.6307,0
HUT,,103.4,1.767,96.6,0.3278,0
IBKR,,93.21,0.4418,78.07,0.1636,0
IFF,,83.6,0.3495,72.47,0.1193,0
ILMN,,238.8,1.318,94.27,0.5249,0
IMAX,,54.04,0.6725,87.2,0.3323,0
INCY,,124.7,0.4494,78.6,0.1787,1
ING,,36.91,0.5225,81.53,0.2436,0
INSW,,109.1,1.605,96.2,0.5515,0
INTC,,121.8,2.984,98.6,0.5704,0
IRDM,,48.21,1.625,96.27,0.3619,0
IVZ,,31.38,0.4295,77.67,0.1496,0
JCI,,145.2,0.3499,72.53,0.07252,1
JNJ,,269.5,0.5821,84.33,0.1377,0
JXN,,131.9,0.3668,73.8,0.1675,0
KEYS,,342,0.9301,91,0.1568,0
KNSA,,78.13,1.175,93.67,0.4295,0
KO,,87.12,0.3457,72,0.1126,0
KYMR,,117.7,1.3,94.13,0.2845,0
LFST,,12.67,1.359,94.53,0.4808,0
LITE,,954.5,4.566,99.27,0.3313,0
MAN,,56.55,0.5591,83.53,0.5537,0
MATX,,234.7,1.203,93.8,0.3242,0
MEOH,,58.7,0.5064,81.07,0.1053,0
MFC,,44.58,0.4598,79.2,0.1637,0
MPC,,402.4,1.211,93.93,0.6027,1
MRK,,149.5,0.8875,90.6,0.2545,1
MRVL,,257.4,2.475,98.13,0.6169,0
MRX,,75.71,1.27,94.07,0.4492,1
MSGS,,400.1,0.8577,90.27,0.1859,0
MT,,72.54,1.115,93.07,0.1933,0
MTRN,,254.6,1.092,92.93,0.3209,0
MU,,1044,5.191,99.6,0.621,0
MUFG,,23.42,0.4994,80.93,0.2156,1
NBIS,,232.8,1.473,95.6,0.4425,0
NDSN,,314.4,0.3982,76,0.117,0
NEM,,123,0.5859,84.47,0.1194,0
NESR,,32.4,2.112,97.6,0.3287,0
NET,,351.7,0.573,84,0.5384,0
NTAP,,198.2,0.5956,84.73,0.4764,1
NTR,,74.54,0.3473,72.27,0.07742,0
NTRA,,370.6,1.061,92.73,0.5356,0
NVT,,159.4,0.627,85.67,0.158,0
OKTA,,191.3,1.044,92.4,0.7902,0
OSCR,,31.29,0.6374,85.93,0.4678,0
PANW,,371.8,0.8075,89.2,0.5395,1
PARR,,82,1.301,94.2,0.4152,0
PBF,,72.48,1.426,95.13,0.5771,0
PBR,,20.63,0.6803,87.4,0.2189,0
PCVX,,58.92,0.8079,89.27,0.07885,0
PFG,,116.5,0.4733,80.07,0.1756,0
PK,,15.15,0.362,73.6,0.2372,1
PR,,21.97,0.6741,87.27,0.1688,0
PSNL,,16.24,1.79,96.67,0.5892,0
PSX,,261.8,1.052,92.67,0.4783,0
PTEN,,11.42,1.155,93.33,0.1816,0
PTGX,,145,1.333,94.33,0.3304,0
RAL,,68.91,0.5806,84.27,0.2353,0
RBRK,,113,0.4478,78.4,0.6033,1
RGA,,245.1,0.3226,70.8,0.1396,0
RIOT,,24.18,0.3809,74.8,0.2706,1
RNG,,77.3,1.439,95.2,0.8432,0
RNR,,326.3,0.3509,72.8,0.08564,0
ROIV,,38.99,1.584,95.93,0.3223,0
ROKU,,154.3,0.5564,83.33,0.2755,0
RVTY,,143.6,0.6407,86.07,0.3806,0
SAIC,,133.3,0.3198,70.6,0.2608,0
SAN,,14.62,0.4654,79.47,0.1578,0
SBLK,,31.73,0.7155,88.07,0.3183,0
SCCO,,198.1,0.9605,91.47,0.1164,0
SKM,,35.7,0.6161,85.47,0.1179,0
SLAB,,220.9,0.5632,83.73,0.1103,0
SLF,,81.44,0.4095,76.6,0.1679,0
SM,,34.75,0.3234,70.87,0.2686,0
SMTC,,177.4,1.901,96.87,0.5795,0
SNDK,,1767,16.87,99.93,0.6418,0
SNOW,,339.4,0.528,82,0.5212,1
SNX,,279.6,0.8737,90.47,0.332,0
SSRM,,36.61,0.6809,87.53,0.27,0
STNG,,86.21,0.47,79.8,0.2019,0
STX,,877.3,3.083,98.73,0.4109,0
SU,,67.24,0.6069,85.07,0.1475,0
TD,,124,0.6053,85,0.1734,0
TECK,,66.76,0.7003,87.6,0.1563,0
TER,,381.5,2.217,97.87,0.1718,0
TEVA,,40.06,1.171,93.6,0.2062,0
TGB,,8.67,1.369,94.67,0.1966,1
TGT,,157.7,0.8351,89.73,0.268,1
THC,,261,0.3714,74.13,0.2363,0
TIGO,,95.11,1.165,93.53,0.2309,0
TRGP,,289.4,0.7375,88.27,0.1946,0
TRV,,371.1,0.3559,72.93,0.1804,0
TSM,,445.1,0.6745,87.33,0.177,1
TTE,,90.06,0.5304,82.13,0.106,0
TVTX,,62.86,1.599,96.07,0.4322,0
TWLO,,266.1,1.455,95.47,0.5752,1
TWST,,165.8,4.933,99.4,1.357,1
TXG,,79.1,4.961,99.47,1.501,1
UMC,,25.43,2.702,98.33,0.7083,1
VCTR,,107.8,0.6082,85.13,0.3163,1
VLO,,393.3,1.451,95.33,0.5791,1
VOD,,17.02,0.5498,82.87,0.1518,1
VOYA,,100.5,0.3367,71.6,0.2194,0
VSAT,,76.38,1.534,95.87,0.2896,0
VTRS,,17.1,0.7958,89,0.1525,0
WCC,,355.3,0.664,86.93,0.1341,0
WHD,,67.45,0.6535,86.6,0.2098,1
WPM,,147.7,0.4155,77,0.124,0
WST,,361.8,0.4233,77.33,0.2156,0
XMTR,,99.53,0.8983,90.8,0.4129,0
XOM,,158.3,0.4297,77.73,0.08748,0
ZETA,,31.15,0.4763,80.13,0.5015,0
