ticker,name,close,ret252,rs,above_200ma_pct,in40
8750.T,,1914,0.6337,75.3,0.2183,1
8616.T,,898,0.6335,75.2,0.2062,0
6645.T,,6168,0.6249,74.6,0.1987,1
6652.T,,3810,0.6246,74.5,0.1866,0
5702.T,,1809,0.6212,74.2,0.2048,1
5331.T,,3665,0.6124,73.9,0.08388,0
8061.T,,3075,0.6118,73.8,0.1239,0
7287.T,,2813,0.6077,73.7,0.1315,0
4021.T,,8257,0.6006,73.4,0.2182,1
8304.T,,3486,0.5933,73.2,0.2664,1
3036.T,,3380,0.5927,73,0.2357,1
9107.T,,3497,0.5845,72.9,0.358,1
2782.T,,4735,0.5652,72.3,0.2378,0
8022.T,,4025,0.5639,72.2,0.1486,0
4203.T,,7786,0.5619,72.1,0.2706,0
9104.T,,7240,0.5575,72,0.2741,1
8725.T,,5217,0.5575,71.9,0.224,0
4471.T,,6380,0.5502,71.5,0.1998,0
8628.T,,1172,0.5422,71.3,0.2167,0
8020.T,,2318,0.5417,71.2,0.1056,0
8078.T,,1912,0.5394,71,0.1548,0
7014.T,,5070,0.5326,70.7,0.1858,0
9678.T,,5450,0.5299,70.4,0.179,0
9934.T,,3097,0.5295,70.3,0.1409,0
9513.T,,4205,0.525,70.2,0.1299,0
2914.T,,6886,0.5197,70.1,0.1443,0
