,ret
2024-03-31,0.003323921963419743
2024-04-30,0.00959777079040022
2024-05-31,0.01030370196083552
2024-06-30,0.004180874489560208
2024-07-31,-0.05028376029733796
2024-08-31,0.0006143091032824884
2024-09-30,-0.0035330927899223773
2024-10-31,0.0011376231434014226
2024-11-30,-0.004141992946630059
2024-12-31,0.004568139207669403
2025-01-31,-0.017644500214442305
2025-02-28,0.015703110511032188
2025-03-31,-0.0055072987807576025
2025-04-30,0.008869892747165492
2025-05-31,-0.004052264753303216
2025-06-30,-0.010511464541309027
2025-07-31,-0.003261922333846222
2025-08-31,0.007738850402997743
2025-09-30,-0.005180822333429168
2025-10-31,0.009451634371676898
2025-11-30,0.003779884103348362
2025-12-31,0.0042540985653538015
2026-01-31,0.0011058422937911933
2026-02-28,0.00961412468685995
2026-03-31,-0.009323981792662658
2026-04-30,0.011215388752612604
2026-05-31,0.005458629764458284
2026-06-30,-0.016700989476637153
2026-07-31,0.005091949902334884
2026-08-31,0.014403259132598049
