month_end,longs,shorts,carry_EUR,carry_GBP,carry_AUD,carry_JPY,carry_CHF,carry_CAD,mom_EUR,mom_GBP,mom_AUD,mom_JPY,mom_CHF,mom_CAD,value_EUR,value_GBP,value_AUD,value_JPY,value_CHF,value_CAD,carry_NZD,mom_NZD,value_NZD
2006-04-28,"['AUD', 'GBP', 'CAD']","['CHF', 'JPY', 'EUR']",2.6004,4.582,5.61,0.11,0.9968,3.63,-0.0189,-0.0438,-0.0287,-0.0797,-0.0348,0.1271,-0.1262,0.0284,-0.2877,0.2231,0.0123,-0.27,,,
2006-05-31,"['EUR', 'CAD', 'GBP']","['JPY', 'AUD', 'CHF']",2.7938,4.6296,5.69,0.14,1.1755,3.96,0.0418,0.0296,-0.0068,-0.037,0.0249,0.1394,-0.1558,0.0538,-0.3198,0.1878,0.0126,-0.2871,,,
2006-06-30,"['CHF', 'CAD', 'GBP']","['JPY', 'AUD', 'EUR']",2.889,4.7015,5.87,0.27,1.302,4.126,0.0579,0.0336,-0.026,-0.0324,0.049,0.0979,-0.1981,0.0284,-0.2975,0.1732,-0.0201,-0.2985,,,
2006-07-31,"['CHF', 'CAD', 'GBP']","['JPY', 'EUR', 'AUD']",2.9857,4.735,5.96,0.35,1.3727,4.24,0.0531,0.0624,0.0114,-0.018,0.0474,0.0813,-0.2239,0.0271,-0.2694,0.1883,-0.0186,-0.2799,,,
2006-08-31,"['AUD', 'CAD', 'GBP']","['JPY', 'NZD', 'EUR']",3.1022,4.7332,6.05,0.44,1.4277,4.2,0.0379,0.0556,0.0126,-0.0573,0.0181,0.0762,-0.2084,0.0318,-0.3082,0.1844,0.0055,-0.2622,7.48,-0.0549,-0.2609
2006-09-29,"['CAD', 'CHF', 'GBP']","['JPY', 'AUD', 'NZD']",3.1022,4.7332,6.05,0.44,1.4277,4.2,0.0501,0.0606,-0.0197,-0.0365,0.0355,0.0455,-0.2084,0.0318,-0.3082,0.1844,0.0055,-0.2622,7.48,-0.0565,-0.2609
2006-10-31,"['AUD', 'EUR', 'GBP']","['NZD', 'JPY', 'CAD']",3.3354,5.025,6.21,0.436,1.6434,4.15,0.0648,0.0789,0.0371,-0.0027,0.0368,0.0542,-0.1589,0.0119,-0.3536,0.2169,0.0447,-0.3125,7.56,-0.0398,-0.3209
2006-11-30,"['CHF', 'EUR', 'GBP']","['CAD', 'NZD', 'JPY']",3.502,5.1318,6.28,0.447,1.7474,4.1575,0.1231,0.1365,0.066,0.0347,0.0973,0.0218,-0.1516,0.0057,-0.3391,0.2151,0.0545,-0.3061,7.66,-0.0294,-0.3413
2006-12-29,"['AUD', 'EUR', 'GBP']","['CAD', 'JPY', 'NZD']",3.502,5.1318,6.28,0.447,1.7474,4.1575,0.1137,0.1368,0.0768,-0.0113,0.0768,-0.0028,-0.1516,0.0057,-0.3391,0.2151,0.0545,-0.3061,7.66,0.0361,-0.3413
2007-01-31,"['AUD', 'EUR', 'GBP']","['CAD', 'JPY', 'NZD']",3.6842,5.2917,6.39,0.54,1.9084,4.16,0.0722,0.104,0.0238,-0.0283,0.0272,-0.0312,-0.18,-0.0087,-0.3012,0.1909,0.0509,-0.2762,7.66,0.0019,-0.3462
