direction,entry,exit,pnl,open_time,close_time,reason
LONG,7.850440,7.849080,-0.001360,2022-08-05T23:59:00+00:00,2022-08-09T05:51:00+00:00,REV
SHORT,7.849080,7.843610,0.005470,2022-08-09T05:51:00+00:00,2022-08-17T18:33:00+00:00,REV
LONG,7.843610,7.844530,0.000920,2022-08-17T18:33:00+00:00,2022-08-24T04:08:00+00:00,REV
SHORT,7.844530,7.847570,-0.003040,2022-08-24T04:08:00+00:00,2022-08-26T23:44:00+00:00,REV
LONG,7.847570,7.848520,0.000950,2022-08-26T23:44:00+00:00,2022-09-09T00:18:00+00:00,REV
SHORT,7.848520,7.849730,-0.001210,2022-09-09T00:18:00+00:00,2022-09-13T22:58:00+00:00,REV
LONG,7.849730,7.847620,-0.002110,2022-09-13T22:58:00+00:00,2022-09-15T04:01:00+00:00,REV
SHORT,7.847620,7.849790,-0.002170,2022-09-15T04:01:00+00:00,2022-09-16T18:00:00+00:00,REV
LONG,7.849790,7.848180,-0.001610,2022-09-16T18:00:00+00:00,2022-09-23T00:20:00+00:00,REV
SHORT,7.848180,7.850090,-0.001910,2022-09-23T00:20:00+00:00,2022-09-26T03:58:00+00:00,REV
LONG,7.850090,7.848530,-0.001560,2022-09-26T03:58:00+00:00,2022-09-29T00:06:00+00:00,REV
SHORT,7.848530,7.850170,-0.001640,2022-09-29T00:06:00+00:00,2022-09-29T12:32:00+00:00,REV
LONG,7.850170,7.848930,-0.001240,2022-09-29T12:32:00+00:00,2022-10-04T23:05:00+00:00,REV
SHORT,7.848930,7.850110,-0.001180,2022-10-04T23:05:00+00:00,2022-10-07T09:01:00+00:00,REV
LONG,7.850110,7.849130,-0.000980,2022-10-07T09:01:00+00:00,2022-10-10T01:04:00+00:00,REV
SHORT,7.849130,7.850160,-0.001030,2022-10-10T01:04:00+00:00,2022-10-10T17:57:00+00:00,REV
LONG,7.850160,7.849160,-0.001000,2022-10-10T17:57:00+00:00,2022-10-13T02:52:00+00:00,REV
SHORT,7.849160,7.850210,-0.001050,2022-10-13T02:52:00+00:00,2022-10-14T23:58:00+00:00,REV
LONG,7.850210,7.848470,-0.001740,2022-10-14T23:58:00+00:00,2022-10-20T04:30:00+00:00,REV
SHORT,7.848470,7.850080,-0.001610,2022-10-20T04:30:00+00:00,2022-10-24T19:24:00+00:00,REV
LONG,7.850080,7.848760,-0.001320,2022-10-24T19:24:00+00:00,2022-10-27T01:07:00+00:00,REV
SHORT,7.848760,7.849850,-0.001090,2022-10-27T01:07:00+00:00,2022-10-31T11:33:00+00:00,REV
LONG,7.849850,7.849050,-0.000800,2022-10-31T11:33:00+00:00,2022-11-08T00:32:00+00:00,REV
SHORT,7.849050,7.850170,-0.001120,2022-11-08T00:32:00+00:00,2022-11-08T15:28:00+00:00,REV
LONG,7.850170,7.848830,-0.001340,2022-11-08T15:28:00+00:00,2022-11-09T00:00:00+00:00,REV
SHORT,7.848830,7.819030,0.029800,2022-11-09T00:00:00+00:00,2022-11-28T07:04:00+00:00,REV
LONG,7.819030,7.807630,-0.011400,2022-11-28T07:04:00+00:00,2022-11-30T05:38:00+00:00,REV
SHORT,7.807630,7.788670,0.018960,2022-11-30T05:38:00+00:00,2022-12-07T03:23:00+00:00,REV
LONG,7.788670,7.780100,-0.008570,2022-12-07T03:23:00+00:00,2022-12-12T00:04:00+00:00,REV
SHORT,7.780100,7.780640,-0.000540,2022-12-12T00:04:00+00:00,2022-12-16T10:31:00+00:00,REV
LONG,7.780640,7.797840,0.017200,2022-12-16T10:31:00+00:00,2022-12-28T00:05:00+00:00,REV
