direction,entry,exit,pnl,open_time,close_time,reason
SHORT,86.51,87.28,-0.77,2015-11-10T20:20:00+00:00,2015-11-12T02:30:00+00:00,REV
LONG,87.28,88.11,0.83,2015-11-12T02:30:00+00:00,2015-11-30T02:15:00+00:00,REV
SHORT,88.11,89.13,-1.02,2015-11-30T02:15:00+00:00,2015-11-30T17:49:00+00:00,REV
LONG,89.13,89.61,0.48,2015-11-30T17:49:00+00:00,2015-12-07T17:08:00+00:00,REV
SHORT,89.61,88.51,1.09,2015-12-07T17:08:00+00:00,2015-12-17T00:09:00+00:00,REV
LONG,88.51,87.11,-1.40,2015-12-17T00:09:00+00:00,2015-12-18T06:26:00+00:00,REV
SHORT,87.11,87.67,-0.56,2015-12-18T06:26:00+00:00,2015-12-29T15:29:00+00:00,REV
LONG,87.67,87.21,-0.46,2015-12-29T15:29:00+00:00,2016-01-04T03:11:00+00:00,REV
SHORT,87.21,82.16,5.05,2016-01-04T03:11:00+00:00,2016-01-21T18:49:00+00:00,REV
LONG,82.16,84.07,1.91,2016-01-21T18:49:00+00:00,2016-02-03T02:37:00+00:00,REV
SHORT,84.07,81.94,2.12,2016-02-03T02:37:00+00:00,2016-02-15T19:29:00+00:00,REV
LONG,81.94,80.35,-1.59,2016-02-15T19:29:00+00:00,2016-02-19T03:43:00+00:00,REV
SHORT,80.35,81.79,-1.44,2016-02-19T03:43:00+00:00,2016-02-26T00:02:00+00:00,REV
LONG,81.79,80.20,-1.59,2016-02-26T00:02:00+00:00,2016-03-01T00:28:00+00:00,REV
SHORT,80.20,82.02,-1.83,2016-03-01T00:28:00+00:00,2016-03-02T02:30:00+00:00,REV
LONG,82.02,84.26,2.24,2016-03-02T02:30:00+00:00,2016-03-21T04:36:00+00:00,REV
SHORT,84.26,85.66,-1.40,2016-03-21T04:36:00+00:00,2016-03-23T00:36:00+00:00,REV
LONG,85.66,85.29,-0.37,2016-03-23T00:36:00+00:00,2016-04-01T16:01:00+00:00,REV
SHORT,85.29,83.48,1.81,2016-04-01T16:01:00+00:00,2016-04-13T02:52:00+00:00,REV
LONG,83.48,82.79,-0.69,2016-04-13T02:52:00+00:00,2016-04-18T00:00:00+00:00,REV
SHORT,82.79,84.78,-1.99,2016-04-18T00:00:00+00:00,2016-04-19T02:42:00+00:00,REV
LONG,84.78,84.64,-0.14,2016-04-19T02:42:00+00:00,2016-04-27T09:04:00+00:00,REV
SHORT,84.64,80.45,4.19,2016-04-27T09:04:00+00:00,2016-05-10T21:46:00+00:00,REV
LONG,80.45,79.12,-1.33,2016-05-10T21:46:00+00:00,2016-05-13T09:22:00+00:00,REV
SHORT,79.12,80.38,-1.26,2016-05-13T09:22:00+00:00,2016-05-17T09:28:00+00:00,REV
LONG,80.38,79.02,-1.36,2016-05-17T09:28:00+00:00,2016-05-23T12:51:00+00:00,REV
SHORT,79.02,79.52,-0.49,2016-05-23T12:51:00+00:00,2016-05-30T01:49:00+00:00,REV
LONG,79.52,79.02,-0.50,2016-05-30T01:49:00+00:00,2016-06-02T05:12:00+00:00,REV
SHORT,79.02,79.52,-0.50,2016-06-02T05:12:00+00:00,2016-06-07T07:18:00+00:00,REV
LONG,79.52,78.98,-0.54,2016-06-07T07:18:00+00:00,2016-06-10T20:30:00+00:00,REV
SHORT,78.98,78.57,0.41,2016-06-10T20:30:00+00:00,2016-06-22T15:44:00+00:00,REV
LONG,78.57,77.31,-1.26,2016-06-22T15:44:00+00:00,2016-06-24T04:08:00+00:00,REV
SHORT,77.31,76.67,0.64,2016-06-24T04:08:00+00:00,2016-06-30T00:08:00+00:00,REV
LONG,76.67,75.67,-1.01,2016-06-30T00:08:00+00:00,2016-07-06T02:02:00+00:00,REV
SHORT,75.67,76.28,-0.62,2016-07-06T02:02:00+00:00,2016-07-11T07:07:00+00:00,REV
LONG,76.28,79.27,2.98,2016-07-11T07:07:00+00:00,2016-07-21T12:34:00+00:00,REV
SHORT,79.27,77.48,1.79,2016-07-21T12:34:00+00:00,2016-08-05T03:11:00+00:00,REV
LONG,77.48,77.85,0.37,2016-08-05T03:11:00+00:00,2016-08-12T17:09:00+00:00,REV
SHORT,77.85,76.73,1.12,2016-08-12T17:09:00+00:00,2016-08-26T08:31:00+00:00,REV
LONG,76.73,77.86,1.14,2016-08-26T08:31:00+00:00,2016-09-07T02:35:00+00:00,REV
SHORT,77.86,77.03,0.83,2016-09-07T02:35:00+00:00,2016-09-21T06:57:00+00:00,REV
LONG,77.03,76.31,-0.72,2016-09-21T06:57:00+00:00,2016-09-21T07:18:00+00:00,REV
SHORT,76.31,77.34,-1.03,2016-09-21T07:18:00+00:00,2016-09-27T09:06:00+00:00,REV
LONG,77.34,77.98,0.64,2016-09-27T09:06:00+00:00,2016-10-11T18:31:00+00:00,REV
SHORT,77.98,78.98,-1.00,2016-10-11T18:31:00+00:00,2016-10-12T18:33:00+00:00,REV
LONG,78.98,79.14,0.15,2016-10-12T18:33:00+00:00,2016-10-21T12:01:00+00:00,REV
SHORT,79.14,80.02,-0.88,2016-10-21T12:01:00+00:00,2016-10-25T16:56:00+00:00,REV
LONG,80.02,79.22,-0.79,2016-10-25T16:56:00+00:00,2016-10-31T00:00:00+00:00,REV
SHORT,79.22,80.04,-0.82,2016-10-31T00:00:00+00:00,2016-11-01T06:30:00+00:00,REV
LONG,80.04,79.22,-0.83,2016-11-01T06:30:00+00:00,2016-11-02T04:46:00+00:00,REV
SHORT,79.22,80.03,-0.82,2016-11-02T04:46:00+00:00,2016-11-07T00:00:00+00:00,REV
LONG,80.03,78.85,-1.18,2016-11-07T00:00:00+00:00,2016-11-09T04:21:00+00:00,REV
SHORT,78.85,81.94,-3.08,2016-11-09T04:21:00+00:00,2016-11-10T12:13:00+00:00,REV
LONG,81.94,81.11,-0.82,2016-11-10T12:13:00+00:00,2016-11-18T19:13:00+00:00,REV
SHORT,81.11,81.92,-0.80,2016-11-18T19:13:00+00:00,2016-11-22T05:20:00+00:00,REV
LONG,81.92,83.97,2.05,2016-11-22T05:20:00+00:00,2016-12-05T00:52:00+00:00,REV
SHORT,83.97,84.86,-0.89,2016-12-05T00:52:00+00:00,2016-12-05T10:09:00+00:00,REV
LONG,84.86,86.03,1.17,2016-12-05T10:09:00+00:00,2016-12-16T17:44:00+00:00,REV
SHORT,86.03,84.60,1.43,2016-12-16T17:44:00+00:00,2017-01-03T01:37:00+00:00,REV
LONG,84.60,85.22,0.62,2017-01-03T01:37:00+00:00,2017-01-16T07:27:00+00:00,REV
SHORT,85.22,86.16,-0.94,2017-01-16T07:27:00+00:00,2017-01-19T01:32:00+00:00,REV
LONG,86.16,85.65,-0.51,2017-01-19T01:32:00+00:00,2017-01-31T16:27:00+00:00,REV
SHORT,85.65,86.53,-0.88,2017-01-31T16:27:00+00:00,2017-02-03T06:00:00+00:00,REV
LONG,86.53,85.46,-1.06,2017-02-03T06:00:00+00:00,2017-02-07T02:03:00+00:00,REV
SHORT,85.46,86.45,-0.99,2017-02-07T02:03:00+00:00,2017-02-10T01:11:00+00:00,REV
LONG,86.45,86.83,0.38,2017-02-10T01:11:00+00:00,2017-02-17T11:02:00+00:00,REV
SHORT,86.83,87.09,-0.26,2017-02-17T11:02:00+00:00,2017-03-01T11:17:00+00:00,REV
LONG,87.09,86.19,-0.89,2017-03-01T11:17:00+00:00,2017-03-06T02:42:00+00:00,REV
SHORT,86.19,86.92,-0.73,2017-03-06T02:42:00+00:00,2017-03-10T15:31:00+00:00,REV
LONG,86.92,86.61,-0.31,2017-03-10T15:31:00+00:00,2017-03-17T19:01:00+00:00,REV
SHORT,86.61,85.09,1.52,2017-03-17T19:01:00+00:00,2017-03-29T02:55:00+00:00,REV
LONG,85.09,84.67,-0.42,2017-03-29T02:55:00+00:00,2017-04-03T07:43:00+00:00,REV
SHORT,84.67,82.91,1.77,2017-04-03T07:43:00+00:00,2017-04-18T03:03:00+00:00,REV
LONG,82.91,81.91,-1.00,2017-04-18T03:03:00+00:00,2017-04-18T17:20:00+00:00,REV
SHORT,81.91,83.82,-1.91,2017-04-18T17:20:00+00:00,2017-04-24T00:00:00+00:00,REV
LONG,83.82,82.84,-0.98,2017-04-24T00:00:00+00:00,2017-04-27T17:44:00+00:00,REV
SHORT,82.84,84.02,-1.18,2017-04-27T17:44:00+00:00,2017-05-01T14:45:00+00:00,REV
LONG,84.02,83.13,-0.90,2017-05-01T14:45:00+00:00,2017-05-05T06:28:00+00:00,REV
SHORT,83.13,83.84,-0.71,2017-05-05T06:28:00+00:00,2017-05-09T16:25:00+00:00,REV
LONG,83.84,83.61,-0.23,2017-05-09T16:25:00+00:00,2017-05-17T02:55:00+00:00,REV
SHORT,83.61,83.43,0.18,2017-05-17T02:55:00+00:00,2017-05-23T11:07:00+00:00,REV
LONG,83.43,82.81,-0.61,2017-05-23T11:07:00+00:00,2017-05-26T06:41:00+00:00,REV
SHORT,82.81,82.78,0.03,2017-05-26T06:41:00+00:00,2017-06-07T16:33:00+00:00,REV
