ticker,start,end
5214.T,2011-06-30,
5232.T,2008-06-30,2026-06-30
5233.T,2008-06-30,
5301.T,2008-06-30,
5332.T,2008-06-30,
5333.T,2008-06-30,
5401.T,2008-06-30,
5405.T,2008-06-30,2014-06-30
5405.T,2015-06-30,2018-06-30
5406.T,2008-06-30,
5407.T,2011-06-30,2016-06-30
5411.T,2008-06-30,
5413.T,2016-06-30,2020-06-30
543A.T,2026-06-30,
5541.T,2009-06-30,2026-06-30
5631.T,2008-06-30,
5701.T,2008-06-30,2016-06-30
5703.T,2016-06-30,2024-06-30
5706.T,2008-06-30,
5707.T,2008-06-30,2024-06-30
5711.T,2008-06-30,
5713.T,2008-06-30,
5714.T,2008-06-30,
5715.T,2008-06-30,2021-06-30
5801.T,2008-06-30,
5802.T,2008-06-30,
5803.T,2008-06-30,
5831.T,2024-06-30,
5901.T,2008-06-30,2022-06-30
6098.T,2018-06-30,
6103.T,2008-06-30,
6113.T,2012-06-30,
6146.T,2026-06-30,
6178.T,2018-06-30,
6273.T,2024-06-30,
6301.T,2008-06-30,
6302.T,2008-06-30,
6305.T,2009-06-30,
6326.T,2008-06-30,
6361.T,2008-06-30,
6366.T,2008-06-30,2021-06-30
6367.T,2008-06-30,
6465.T,2009-06-30,2011-06-30
6471.T,2008-06-30,
6472.T,2008-06-30,
6473.T,2008-06-30,
6479.T,2008-06-30,
6501.T,2008-06-30,
6502.T,2008-06-30,2018-06-30
6503.T,2008-06-30,
6504.T,2008-06-30,
6506.T,2011-06-30,
6508.T,2008-06-30,2018-06-30
6526.T,2026-06-30,
6532.T,2026-06-30,
6594.T,2024-06-30,
6645.T,2021-06-30,
6674.T,2008-06-30,2026-06-30
6701.T,2008-06-30,
6702.T,2008-06-30,
6703.T,2008-06-30,2026-06-30
6723.T,2024-06-30,
6724.T,2018-06-30,
6752.T,2008-06-30,
6753.T,2008-06-30,2017-06-30
6753.T,2021-06-30,
6758.T,2008-06-30,
6762.T,2008-06-30,
6764.T,2008-06-30,2011-06-30
6767.T,2008-06-30,2018-06-30
6770.T,2008-06-30,
6773.T,2008-06-30,2021-06-30
6796.T,2008-06-30,2011-06-30
6841.T,2008-06-30,
6857.T,2008-06-30,
6861.T,2022-06-30,
6902.T,2008-06-30,
6920.T,2024-06-30,
6952.T,2008-06-30,2026-06-30
6954.T,2008-06-30,
6963.T,2026-06-30,
6971.T,2008-06-30,
6976.T,2008-06-30,
6981.T,2022-06-30,
6988.T,2015-06-30,
6991.T,2008-06-30,2011-06-30
7003.T,2008-06-30,2024-06-30
7004.T,2008-06-30,
7011.T,2008-06-30,
7012.T,2008-06-30,
7013.T,2008-06-30,
7186.T,2018-06-30,
7201.T,2008-06-30,
7202.T,2008-06-30,
7203.T,2008-06-30,
7205.T,2008-06-30,2026-06-30
7211.T,2008-06-30,
7231.T,2008-06-30,2009-06-30
7261.T,2008-06-30,
7267.T,2008-06-30,
7269.T,2008-06-30,
7270.T,2008-06-30,
7272.T,2017-06-30,
7453.T,2026-06-30,
7532.T,2026-06-30,
7731.T,2008-06-30,
7733.T,2008-06-30,
7735.T,2011-06-30,
7741.T,2024-06-30,
7751.T,2008-06-30,
7752.T,2008-06-30,
7762.T,2008-06-30,2026-06-30
7832.T,2021-06-30,
7911.T,2008-06-30,
7912.T,2008-06-30,
7951.T,2008-06-30,
7974.T,2022-06-30,
8001.T,2008-06-30,
8002.T,2008-06-30,
8015.T,2008-06-30,
8028.T,2018-06-30,2021-06-30
8031.T,2008-06-30,
8035.T,2008-06-30,
8053.T,2008-06-30,
8058.T,2008-06-30,
8233.T,2008-06-30,
8238.T,2008-06-30,2009-06-30
8252.T,2008-06-30,
8253.T,2008-06-30,
8267.T,2008-06-30,
8270.T,2009-06-30,2018-06-30
8303.T,2008-06-30,2024-06-30
8304.T,2012-06-30,
8306.T,2008-06-30,
8308.T,2008-06-30,
8309.T,2008-06-30,
8316.T,2008-06-30,
8331.T,2008-06-30,
8332.T,2008-06-30,2018-06-30
8354.T,2009-06-30,
8355.T,2008-06-30,2024-06-30
8403.T,2008-06-30,2011-06-30
8404.T,2008-06-30,2012-06-30
8411.T,2008-06-30,
8583.T,2008-06-30,2009-06-30
8591.T,2024-06-30,
8601.T,2008-06-30,
8603.T,2008-06-30,2009-06-30
8604.T,2008-06-30,
8606.T,2008-06-30,2012-06-30
8628.T,2009-06-30,2024-06-30
8630.T,2014-06-30,2015-06-30
8630.T,2018-06-30,
8697.T,2021-06-30,
8725.T,2009-06-30,
8729.T,2012-06-30,2021-06-30
8750.T,2011-06-30,
8752.T,2008-06-30,2009-06-30
8755.T,2008-06-30,2011-06-30
8766.T,2008-06-30,
8795.T,2008-06-30,
8801.T,2008-06-30,
8802.T,2008-06-30,
8803.T,2008-06-30,2016-06-30
8804.T,2011-06-30,
8815.T,2008-06-30,2016-06-30
8830.T,2008-06-30,
9001.T,2008-06-30,
9005.T,2008-06-30,
9007.T,2008-06-30,
9008.T,2008-06-30,
9009.T,2008-06-30,
9020.T,2008-06-30,
9021.T,2008-06-30,
9022.T,2011-06-30,
9062.T,2008-06-30,2024-06-30
9064.T,2008-06-30,
9101.T,2008-06-30,
9104.T,2008-06-30,
9107.T,2008-06-30,
9147.T,2024-06-30,
9201.T,2024-06-30,
9202.T,2008-06-30,
9205.T,2008-06-30,2011-06-30
9301.T,2008-06-30,2026-06-30
9412.T,2009-06-30,2022-06-30
9432.T,2008-06-30,
9433.T,2008-06-30,
9434.T,2021-06-30,
9437.T,2008-06-30,2021-06-30
9501.T,2008-06-30,
9502.T,2008-06-30,
9503.T,2008-06-30,
9531.T,2008-06-30,
9532.T,2008-06-30,
9602.T,2008-06-30,
9613.T,2008-06-30,2026-06-30
9681.T,2008-06-30,2021-06-30
9735.T,2008-06-30,
9737.T,2008-06-30,2012-06-30
9766.T,2008-06-30,
9843.T,2024-06-30,
9983.T,2008-06-30,
9984.T,2008-06-30,
