month_end,n,k,longs,shorts,term_EUR,term_GBP,term_AUD,term_NZD,term_JPY,term_CHF,term_CAD
2008-12-31,7,3,"['JPY', 'CHF', 'CAD']","['NZD', 'GBP', 'EUR']",-0.0419,-0.1897,0.1808,-0.52,0.497,1.5257,1.7891
2009-01-30,7,3,"['JPY', 'CHF', 'CAD']","['NZD', 'GBP', 'EUR']",-0.0419,-0.1897,0.1808,-0.52,0.497,1.5257,1.7891
2009-02-27,7,3,"['EUR', 'CAD', 'CHF']","['NZD', 'AUD', 'GBP']",0.5955,0.4513,-0.1743,-0.35,0.474,2.0405,1.8957
2009-03-31,7,3,"['CHF', 'CAD', 'EUR']","['JPY', 'AUD', 'NZD']",2.2534,1.5995,1.093,1.13,0.567,2.064,2.233
2009-04-30,7,3,"['CHF', 'CAD', 'EUR']","['JPY', 'AUD', 'GBP']",2.5065,1.4183,1.1677,1.53,0.673,2.062,2.4784
2009-05-29,7,3,"['CHF', 'CAD', 'EUR']","['JPY', 'AUD', 'GBP']",2.5065,1.4183,1.1677,1.53,0.673,2.062,2.4784
2009-06-30,7,3,"['NZD', 'EUR', 'CAD']","['JPY', 'AUD', 'GBP']",2.8514,2.2626,1.8743,2.77,0.911,2.4447,3.022
2009-07-31,7,3,"['EUR', 'NZD', 'CAD']","['JPY', 'AUD', 'CHF']",3.097,2.4809,2.3067,3.19,0.803,2.3909,3.2341
2009-08-31,7,3,"['NZD', 'EUR', 'CAD']","['JPY', 'CHF', 'AUD']",3.1137,2.8227,2.3478,2.96,0.836,2.1202,3.1951
2009-09-30,7,3,"['EUR', 'NZD', 'CAD']","['JPY', 'CHF', 'AUD']",3.031,2.9405,2.2332,3.06,0.774,2.0502,3.2345
2009-10-30,7,3,"['EUR', 'NZD', 'CAD']","['JPY', 'CHF', 'AUD']",3.031,2.9405,2.2332,3.06,0.774,2.0502,3.2345
2009-11-30,7,3,"['GBP', 'EUR', 'CAD']","['JPY', 'AUD', 'CHF']",3.0664,2.999,1.6702,2.87,0.874,2.122,3.2102
2009-12-31,7,3,"['GBP', 'CAD', 'NZD']","['JPY', 'AUD', 'CHF']",3.1188,3.1498,1.5167,3.21,0.743,1.8835,3.1775
2010-01-29,7,3,"['GBP', 'CAD', 'NZD']","['JPY', 'AUD', 'CHF']",3.1188,3.1498,1.5167,3.21,0.743,1.8835,3.1775
2010-02-26,7,3,"['CAD', 'NZD', 'GBP']","['JPY', 'AUD', 'CHF']",3.1596,3.2817,1.344,3.24,0.812,1.8564,3.2182
2010-03-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",3.4443,3.4293,1.3175,3.13,0.855,1.8323,3.2587
2010-04-30,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'AUD', 'CHF']",3.3417,3.446,1.2925,3.19,0.931,1.8452,3.2624
2010-05-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",3.5224,3.4448,1.25,3.27,0.886,1.7771,3.3325
2010-06-30,7,3,"['EUR', 'CAD', 'GBP']","['AUD', 'JPY', 'CHF']",2.9976,3.0801,0.675,2.84,0.867,1.4911,3.0555
2010-07-30,7,3,"['EUR', 'CAD', 'GBP']","['AUD', 'JPY', 'CHF']",2.9976,3.0801,0.675,2.84,0.867,1.4911,3.0555
2010-08-31,7,3,"['CAD', 'EUR', 'GBP']","['AUD', 'JPY', 'CHF']",2.7616,2.7727,0.305,2.17,0.705,1.3171,2.6102
2010-09-30,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.5424,2.5,0.2275,1.99,0.663,0.9854,2.2895
2010-10-29,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.5424,2.5,0.2275,1.99,0.663,0.9854,2.2895
2010-11-30,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.3317,2.3301,0.275,1.91,0.563,1.2101,1.871
2010-12-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.6762,2.572,0.3625,2.32,0.821,1.372,2.0699
2011-01-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",3.0318,2.8602,0.53,2.65,0.793,1.4826,2.2108
2011-02-28,7,3,"['NZD', 'EUR', 'GBP']","['AUD', 'JPY', 'CHF']",2.9154,2.9586,0.565,2.42,0.873,1.6672,2.2905
2011-03-31,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",3.388,3.0803,0.6925,2.43,0.901,1.7575,2.4649
2011-04-29,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",3.388,3.0803,0.6925,2.43,0.901,1.7575,2.4649
2011-05-31,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",3.3392,2.9409,0.6125,3.05,0.8821,1.9435,2.363
2011-06-30,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.9424,2.6819,0.3225,2.57,0.7859,1.7296,2.1894
2011-07-29,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.9424,2.6819,0.3225,2.57,0.7859,1.7296,2.1894
2011-08-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.9991,2.4848,0.065,2.36,0.7429,1.345,2.016
2011-09-30,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.6524,1.9255,-0.365,1.65,0.6944,1.2006,1.5724
2011-10-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.498,1.5859,-0.6075,1.53,0.6457,1.0641,1.3242
2011-11-30,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.5019,1.5591,-0.355,1.78,0.7087,1.1754,1.4335
2011-12-30,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.5019,1.5591,-0.355,1.78,0.7087,1.1754,1.4335
2012-01-31,7,3,"['CAD', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.6665,1.1213,-0.6825,1.22,0.6417,0.66,1.162
2012-02-29,7,3,"['NZD', 'CAD', 'EUR']","['AUD', 'JPY', 'CHF']",2.6821,1.0233,-0.615,1.12,0.6282,0.6947,1.155
2012-03-30,7,3,"['NZD', 'CAD', 'EUR']","['AUD', 'JPY', 'CHF']",2.6821,1.0233,-0.615,1.12,0.6282,0.6947,1.155
2012-04-30,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.4243,1.2854,-0.2925,1.43,0.6343,0.8027,1.1918
2012-05-31,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.6376,1.1938,-0.345,1.24,0.5823,0.7213,1.082
2012-06-29,7,3,"['GBP', 'NZD', 'EUR']","['AUD', 'JPY', 'CHF']",2.6376,1.1938,-0.345,1.24,0.5823,0.7213,1.082
2012-07-31,7,3,"['GBP', 'CAD', 'EUR']","['AUD', 'JPY', 'CHF']",2.7471,0.82,-0.4975,0.79,0.4545,0.7353,0.8651
2012-08-31,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'NZD']",2.7519,0.835,-0.6575,0.73,0.4527,0.7344,0.7687
2012-09-28,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'NZD']",2.7519,0.835,-0.6575,0.73,0.4527,0.7344,0.7687
2012-10-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.1724,1.0742,-0.3975,0.93,0.4297,0.7497,0.8304
2012-11-30,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.0979,1.2281,-0.14,0.86,0.4336,0.6604,0.8358
2012-12-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.0547,1.2496,-0.155,0.83,0.3948,0.675,0.7681
2013-01-31,7,3,"['NZD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",1.9136,1.3282,0.115,0.91,0.4728,0.6083,0.8229
2013-02-28,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'NZD']",2.1893,1.5672,0.3975,0.89,0.4832,0.8971,1.0114
2013-03-29,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'NZD']",2.1893,1.5672,0.3975,0.89,0.4832,0.8971,1.0114
2013-04-30,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",2.8208,1.4699,0.4625,1.08,0.242,0.8066,0.889
2013-05-31,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.6468,1.2768,0.225,0.68,0.3608,0.6767,0.7661
2013-06-28,7,3,"['CAD', 'GBP', 'EUR']","['AUD', 'JPY', 'CHF']",2.6468,1.2768,0.225,0.68,0.3608,0.6767,0.7661
2013-07-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",2.8594,1.7984,0.755,1.19,0.5938,1.1202,1.2195
2013-08-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",2.8594,1.7984,0.755,1.19,0.5938,1.1202,1.2195
2013-09-30,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.871,2.1962,1.294,1.83,0.48,1.2027,1.6189
2013-10-31,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",3.1839,2.3274,1.453,2.05,0.441,1.1611,1.7105
2013-11-29,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",3.1839,2.3274,1.453,2.05,0.441,1.1611,1.7105
2013-12-31,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.9478,2.2364,1.595,2.04,0.385,1.048,1.6335
2014-01-31,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",3.0394,2.4211,1.662,2.03,0.468,1.2356,1.756
2014-02-28,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.9197,2.3891,1.538,1.76,0.394,1.0263,1.6401
2014-03-31,7,3,"['NZD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.8007,2.2932,1.474,1.64,0.374,0.999,1.55
2014-04-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.5808,2.2621,1.442,1.53,0.393,0.995,1.6118
2014-05-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'CHF', 'AUD']",2.5808,2.2621,1.442,1.53,0.393,0.995,1.6118
2014-06-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'CHF', 'NZD']",2.2303,2.1715,1.091,0.91,0.356,0.8016,1.3902
2014-07-31,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'CHF', 'NZD']",2.0337,2.2403,1.013,0.9,0.326,0.7264,1.3636
2014-08-29,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'CHF', 'NZD']",2.0337,2.2403,1.013,0.9,0.326,0.7264,1.3636
2014-09-30,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'CHF', 'NZD']",1.7992,1.9735,0.8,0.51,0.278,0.491,1.112
2014-10-31,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'CHF']",1.7522,1.929,0.913,0.48,0.287,0.564,1.2535
2014-11-28,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'CHF']",1.7522,1.929,0.913,0.48,0.287,0.564,1.2535
2014-12-31,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'CHF']",1.5359,1.603,0.544,0.36,0.238,0.3716,1.1007
2015-01-30,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'CHF']",1.5359,1.603,0.544,0.36,0.238,0.3716,1.1007
2015-02-27,7,3,"['CAD', 'EUR', 'GBP']","['NZD', 'JPY', 'AUD']",1.3656,1.3705,0.214,0.1,0.151,0.3348,0.9499
2015-03-31,7,3,"['CAD', 'EUR', 'GBP']","['NZD', 'AUD', 'JPY']",1.1607,1.1729,0.13,-0.37,0.159,0.69,0.847
2015-04-30,7,3,"['CAD', 'EUR', 'GBP']","['NZD', 'AUD', 'JPY']",0.9234,1.2297,0.175,-0.33,0.23,0.7878,0.8689
2015-05-29,7,3,"['CAD', 'EUR', 'GBP']","['NZD', 'AUD', 'JPY']",0.9234,1.2297,0.175,-0.33,0.23,0.7878,0.8689
2015-06-30,7,3,"['CAD', 'EUR', 'GBP']","['NZD', 'JPY', 'AUD']",1.3405,1.4563,0.732,0.12,0.221,0.7844,1.0865
2015-07-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'AUD']",1.6734,1.5977,0.835,0.44,0.286,0.8686,1.17
2015-08-31,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'CHF']",1.5484,1.5545,0.782,0.34,0.241,0.7093,1.0995
2015-09-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'AUD']",1.4153,1.3932,0.598,0.34,0.211,0.6573,1.0065
2015-10-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'AUD']",1.4153,1.3932,0.598,0.34,0.211,0.6573,1.0065
2015-11-30,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'NZD', 'AUD']",1.256,1.2659,0.507,0.48,0.131,0.573,1.0608
2015-12-31,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'CHF', 'NZD']",1.2413,1.4042,0.669,0.6,0.131,0.3698,1.181
2016-01-29,7,3,"['CAD', 'EUR', 'GBP']","['JPY', 'CHF', 'NZD']",1.2413,1.4042,0.669,0.6,0.131,0.3698,1.181
2016-02-29,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",1.2607,1.1935,0.408,0.58,-0.074,0.4469,0.823
2016-03-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",1.2254,0.9125,0.185,0.44,-0.163,0.4356,0.667
2016-04-29,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",1.2254,0.9125,0.185,0.44,-0.163,0.4356,0.667
2016-05-31,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'AUD', 'CHF']",1.2093,0.9799,0.252,0.52,-0.145,0.5019,0.8237
2016-06-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'AUD']",1.2295,0.9473,0.322,0.29,-0.18,0.4674,0.8425
2016-07-29,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'AUD']",1.2295,0.9473,0.322,0.29,-0.18,0.4674,0.8425
2016-08-31,7,3,"['GBP', 'CAD', 'EUR']","['JPY', 'NZD', 'AUD']",0.9156,0.4433,0.006,-0.1,-0.253,0.227,0.551
2016-09-30,7,3,"['GBP', 'CAD', 'EUR']","['JPY', 'NZD', 'AUD']",0.9094,0.336,0.132,-0.05,-0.128,0.288,0.5367
2016-10-31,7,3,"['GBP', 'CAD', 'EUR']","['JPY', 'NZD', 'CHF']",1.0342,0.4452,0.274,0.17,-0.141,0.228,0.5812
2016-11-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'CHF']",1.0754,0.6805,0.491,0.38,-0.106,0.388,0.679
2016-12-30,7,3,"['CAD', 'GBP', 'EUR']","['JPY', 'NZD', 'CHF']",1.0754,0.6805,0.491,0.38,-0.106,0.388,0.679
2017-01-31,7,3,"['CAD', 'NZD', 'EUR']","['JPY', 'CHF', 'AUD']",1.599,1.0613,1.019,1.3,-0.016,0.665,1.2545
2017-02-28,7,3,"['NZD', 'CAD', 'EUR']","['JPY', 'CHF', 'AUD']",1.6329,1.0582,0.931,1.25,0.029,0.858,1.2724
2017-03-31,7,3,"['CAD', 'NZD', 'EUR']","['JPY', 'CHF', 'GBP']",1.7657,0.9491,0.958,1.27,-0.006,0.5908,1.2371
2017-04-28,7,3,"['CAD', 'NZD', 'EUR']","['JPY', 'CHF', 'GBP']",1.7657,0.9491,0.958,1.27,-0.006,0.5908,1.2371
2017-05-31,7,3,"['CAD', 'NZD', 'EUR']","['JPY', 'CHF', 'GBP']",1.593,0.7438,0.787,1.08,-0.041,0.6941,0.9882
2017-06-30,7,3,"['NZD', 'CAD', 'EUR']","['JPY', 'CHF', 'GBP']",1.5018,0.8067,0.818,0.95,-0.016,0.7527,1.0012
