month_end,n,k,longs,shorts,ratemom_EUR,ratemom_GBP,ratemom_AUD,ratemom_NZD,ratemom_JPY,ratemom_CHF,ratemom_CAD
2013-09-30,7,3,"['CAD', 'NZD', 'CHF']","['AUD', 'GBP', 'EUR']",-0.1065,-0.1922,-1.0175,0.0,-0.0993,0.1466,-0.0095
2013-10-31,7,3,"['CAD', 'NZD', 'CHF']","['AUD', 'GBP', 'JPY']",-0.0231,-0.1311,-0.91,0.01,-0.0993,0.0996,-0.02
2013-11-29,7,3,"['CAD', 'NZD', 'CHF']","['AUD', 'GBP', 'JPY']",-0.0231,-0.1311,-0.91,0.01,-0.0993,0.0996,-0.02
2013-12-31,7,3,"['NZD', 'EUR', 'CHF']","['AUD', 'JPY', 'CAD']",0.0314,-0.0011,-0.6625,0.02,-0.0982,0.128,-0.045
2014-01-31,7,3,"['CHF', 'NZD', 'EUR']","['AUD', 'JPY', 'CAD']",0.088,0.0063,-0.5125,0.08,-0.0882,0.0688,-0.0275
2014-02-28,7,3,"['CHF', 'EUR', 'NZD']","['AUD', 'JPY', 'CAD']",0.0871,0.0087,-0.38,0.22,-0.0718,0.0648,-0.026
2014-03-31,7,3,"['CHF', 'EUR', 'NZD']","['AUD', 'CAD', 'JPY']",0.0648,0.0117,-0.31,0.27,-0.0571,0.0155,-0.0775
2014-04-30,7,3,"['CHF', 'EUR', 'NZD']","['AUD', 'CAD', 'JPY']",0.0993,0.0147,-0.4,0.41,-0.038,0.0196,-0.12
2014-05-30,7,3,"['CHF', 'EUR', 'NZD']","['AUD', 'CAD', 'JPY']",0.0993,0.0147,-0.4,0.41,-0.038,0.0196,-0.12
2014-06-30,7,3,"['CHF', 'EUR', 'NZD']","['AUD', 'CAD', 'JPY']",0.1233,0.0218,-0.13,0.74,-0.0182,0.0272,-0.073
2014-07-31,7,3,"['GBP', 'CHF', 'NZD']","['AUD', 'CAD', 'JPY']",0.0312,0.036,-0.1,0.88,-0.0182,0.0478,-0.09
2014-08-29,7,3,"['GBP', 'CHF', 'NZD']","['AUD', 'CAD', 'JPY']",0.0312,0.036,-0.1,0.88,-0.0182,0.0478,-0.09
2014-09-30,7,3,"['GBP', 'CHF', 'NZD']","['CAD', 'EUR', 'JPY']",-0.0343,0.0486,0.03,1.05,-0.018,0.0987,-0.0425
2014-10-31,7,3,"['CHF', 'AUD', 'NZD']","['EUR', 'CAD', 'JPY']",-0.1261,0.046,0.08,1.06,-0.018,0.0761,-0.06
2014-11-28,7,3,"['CHF', 'AUD', 'NZD']","['EUR', 'CAD', 'JPY']",-0.1261,0.046,0.08,1.06,-0.018,0.0761,-0.06
2014-12-31,7,3,"['CHF', 'AUD', 'NZD']","['EUR', 'JPY', 'CAD']",-0.1425,0.0328,0.17,1.01,-0.038,0.0584,-0.0225
2015-01-30,7,3,"['CHF', 'AUD', 'NZD']","['EUR', 'JPY', 'CAD']",-0.1425,0.0328,0.17,1.01,-0.038,0.0584,-0.0225
2015-02-27,7,3,"['GBP', 'AUD', 'NZD']","['EUR', 'JPY', 'CAD']",-0.1926,0.0334,0.15,0.94,-0.041,0.0228,-0.0155
2015-03-31,7,3,"['JPY', 'GBP', 'NZD']","['CHF', 'CAD', 'AUD']",-0.2399,0.0421,-0.27,0.7,-0.041,-0.627,-0.3375
2015-04-30,7,3,"['JPY', 'GBP', 'NZD']","['CHF', 'AUD', 'CAD']",-0.2782,0.0428,-0.35,0.58,-0.042,-0.7488,-0.29
2015-05-29,7,3,"['JPY', 'GBP', 'NZD']","['CHF', 'AUD', 'CAD']",-0.2782,0.0428,-0.35,0.58,-0.042,-0.7488,-0.29
2015-06-30,7,3,"['JPY', 'GBP', 'NZD']","['CHF', 'AUD', 'EUR']",-0.3349,0.0405,-0.54,0.15,-0.041,-0.7838,-0.2675
2015-07-31,7,3,"['NZD', 'JPY', 'GBP']","['CHF', 'AUD', 'CAD']",-0.2553,0.0279,-0.55,-0.19,-0.041,-0.7551,-0.325
2015-08-31,7,3,"['EUR', 'JPY', 'GBP']","['CHF', 'NZD', 'AUD']",-0.2238,0.0244,-0.51,-0.54,-0.041,-0.7776,-0.478
2015-09-30,7,3,"['EUR', 'JPY', 'GBP']","['CHF', 'NZD', 'CAD']",-0.2192,0.0255,-0.49,-0.74,-0.041,-0.8193,-0.565
2015-10-30,7,3,"['EUR', 'JPY', 'GBP']","['CHF', 'NZD', 'CAD']",-0.2192,0.0255,-0.49,-0.74,-0.041,-0.8193,-0.565
2015-11-30,7,3,"['EUR', 'JPY', 'GBP']","['CHF', 'NZD', 'AUD']",-0.1362,0.0217,-0.57,-0.82,-0.023,-0.885,-0.4915
2015-12-31,7,3,"['EUR', 'JPY', 'GBP']","['NZD', 'CHF', 'AUD']",-0.1685,0.0174,-0.53,-0.78,-0.013,-0.7223,-0.45
2016-01-29,7,3,"['EUR', 'JPY', 'GBP']","['NZD', 'CHF', 'AUD']",-0.1685,0.0174,-0.53,-0.78,-0.013,-0.7223,-0.45
2016-02-29,7,3,"['EUR', 'JPY', 'GBP']","['NZD', 'AUD', 'CAD']",-0.2088,0.0272,-0.4,-0.94,-0.004,-0.3292,-0.33
2016-03-31,7,3,"['CAD', 'JPY', 'GBP']","['NZD', 'EUR', 'CHF']",-0.2318,0.0271,-0.08,-1.01,-0.073,-0.2136,-0.075
2016-04-29,7,3,"['CAD', 'JPY', 'GBP']","['NZD', 'EUR', 'CHF']",-0.2318,0.0271,-0.08,-1.01,-0.073,-0.2136,-0.075
2016-05-31,7,3,"['CHF', 'AUD', 'GBP']","['NZD', 'EUR', 'JPY']",-0.2539,0.0194,0.01,-1.29,-0.11,-0.0615,-0.1055
2016-06-30,7,3,"['JPY', 'GBP', 'CHF']","['NZD', 'EUR', 'CAD']",-0.2468,0.0213,-0.15,-1.15,-0.109,0.05,-0.15
2016-07-29,7,3,"['JPY', 'GBP', 'CHF']","['NZD', 'EUR', 'CAD']",-0.2468,0.0213,-0.15,-1.15,-0.109,0.05,-0.15
2016-08-31,7,3,"['GBP', 'CHF', 'CAD']","['NZD', 'EUR', 'AUD']",-0.2758,-0.0672,-0.21,-0.76,-0.111,-0.0257,0.03
2016-09-30,7,3,"['JPY', 'CHF', 'CAD']","['NZD', 'AUD', 'EUR']",-0.2706,-0.1806,-0.38,-0.71,-0.111,0.0312,0.121
2016-10-31,7,3,"['JPY', 'CHF', 'CAD']","['NZD', 'AUD', 'EUR']",-0.2646,-0.2067,-0.44,-0.62,-0.113,0.0062,0.105
2016-11-30,7,3,"['JPY', 'CAD', 'CHF']","['NZD', 'AUD', 'EUR']",-0.2554,-0.1826,-0.41,-0.71,-0.113,0.095,0.085
2016-12-30,7,3,"['JPY', 'CAD', 'CHF']","['NZD', 'AUD', 'EUR']",-0.2554,-0.1826,-0.41,-0.71,-0.113,0.095,0.085
2017-01-31,7,3,"['JPY', 'CHF', 'CAD']","['NZD', 'AUD', 'GBP']",-0.1894,-0.2105,-0.56,-0.76,-0.113,-0.0598,-0.0065
