month_end,n,k,longs,shorts,carry_EUR,carry_GBP,carry_JPY,carry_CHF,mom_EUR,mom_GBP,mom_JPY,mom_CHF,value_EUR,value_GBP,value_JPY,value_CHF,carry_AUD,carry_CAD,carry_SEK,carry_NOK,mom_AUD,mom_CAD,mom_SEK,mom_NOK,value_AUD,value_CAD,value_SEK,value_NOK,carry_ZAR,mom_ZAR,value_ZAR,carry_NZD,mom_NZD,value_NZD,carry_MXN,carry_TRY,carry_PLN,carry_HUF,mom_MXN,mom_TRY,mom_PLN,mom_HUF,value_MXN,value_TRY,value_PLN,value_HUF
2005-06-30,9,3,"['AUD', 'GBP', 'ZAR']","['CHF', 'SEK', 'EUR']",2.1256,4.8937,0.08,0.6707,-0.0094,-0.0177,-0.0236,-0.0266,-0.2279,0.0478,0.1873,-0.0544,5.68,2.46,1.9,2.08,0.0897,0.0876,-0.0394,0.0578,-0.2794,-0.1498,0.0455,-0.1157,6.7492,2.6251,-0.0965,,,,,,,,,,,,,,,
2005-07-29,9,3,"['GBP', 'CAD', 'ZAR']","['EUR', 'CHF', 'SEK']",2.1256,4.8937,0.08,0.6707,0.0087,-0.034,-0.0104,-0.0055,-0.2279,0.0478,0.1873,-0.0544,5.68,2.46,1.9,2.08,0.0787,0.0883,-0.0128,0.0812,-0.2794,-0.1498,0.0455,-0.1157,6.7492,2.6854,-0.0965,,,,,,,,,,,,,,,
2005-08-31,9,3,"['NOK', 'GBP', 'ZAR']","['JPY', 'EUR', 'CHF']",2.1194,4.6579,0.09,0.6663,0.0133,0.0002,-0.0146,0.0107,-0.1588,0.0425,0.2113,-0.0029,5.65,2.555,1.48,2.22,0.0687,0.1045,-0.0072,0.0774,-0.2436,-0.1761,0.0725,-0.1065,6.7346,2.7896,-0.053,,,,,,,,,,,,,,,
2005-09-30,9,3,"['CAD', 'GBP', 'ZAR']","['EUR', 'CHF', 'SEK']",2.1325,4.5946,0.09,0.6759,-0.0291,-0.0261,-0.0333,-0.0371,-0.1991,0.0433,0.217,-0.0277,5.62,2.68,1.48,2.25,0.0497,0.0803,-0.0592,0.0262,-0.2362,-0.1899,0.0487,-0.1124,6.7196,2.8036,-0.0709,,,,,,,,,,,,,,,
2005-10-31,9,3,"['CAD', 'GBP', 'ZAR']","['EUR', 'CHF', 'JPY']",2.1391,4.5969,0.09,0.6749,-0.0626,-0.0377,-0.0916,-0.073,-0.2221,0.0253,0.233,-0.0251,5.62,2.795,1.47,2.35,-0.0021,0.0298,-0.1104,-0.0196,-0.287,-0.2147,0.038,-0.1234,6.738,2.6046,-0.1006,,,,,,,,,,,,,,,
2005-11-30,9,3,"['CAD', 'ZAR', 'GBP']","['EUR', 'CHF', 'SEK']",2.1966,4.587,0.09,0.7222,-0.1127,-0.0939,-0.1403,-0.1331,-0.233,0.06,0.2507,-0.0252,5.63,2.98,1.49,2.45,-0.043,0.0179,-0.1684,-0.088,-0.3296,-0.2304,0.0319,-0.1188,6.7935,-0.1014,-0.1094,,,,,,,,,,,,,,,
2005-12-30,9,3,"['CAD', 'ZAR', 'GBP']","['EUR', 'CHF', 'SEK']",2.1966,4.587,0.09,0.7222,-0.1259,-0.1018,-0.1287,-0.1311,-0.233,0.06,0.2507,-0.0252,5.63,2.98,1.49,2.45,-0.0615,0.0342,-0.1615,-0.0987,-0.3296,-0.2304,0.0319,-0.1188,6.7935,-0.107,-0.1094,,,,,,,,,,,,,,,
2006-01-31,9,3,"['CAD', 'GBP', 'ZAR']","['JPY', 'CHF', 'EUR']",2.4729,4.6373,0.1,0.9331,-0.0691,-0.056,-0.1168,-0.0711,-0.1691,0.0418,0.246,0.0056,5.63,3.35,1.69,2.55,-0.0223,0.0893,-0.0803,-0.0425,-0.2842,-0.2624,0.0409,-0.0876,6.8196,-0.0106,-0.1964,,,,,,,,,,,,,,,
2006-02-28,9,3,"['CAD', 'ZAR', 'GBP']","['CHF', 'EUR', 'SEK']",2.5117,4.6037,0.1036,0.9245,-0.0973,-0.086,-0.0968,-0.1121,-0.129,0.034,0.1994,0.0153,5.63,3.42,1.83,2.52,-0.0606,0.086,-0.1317,-0.0775,-0.2557,-0.2516,0.0227,-0.0584,6.7368,-0.0559,-0.2576,,,,,,,,,,,,,,,
2006-03-31,9,3,"['CAD', 'GBP', 'ZAR']","['CHF', 'SEK', 'JPY']",2.6004,4.582,0.11,0.9968,-0.0655,-0.0794,-0.0892,-0.0825,-0.1262,0.0284,0.2231,0.0123,5.61,3.63,1.93,2.57,-0.073,0.0356,-0.0927,-0.0327,-0.2877,-0.27,0.0173,-0.0509,6.6758,0.0121,-0.2516,,,,,,,,,,,,,,,
2006-04-28,9,3,"['CAD', 'NOK', 'ZAR']","['JPY', 'CHF', 'AUD']",2.6004,4.582,0.11,0.9968,-0.0189,-0.0438,-0.0797,-0.0348,-0.1262,0.0284,0.2231,0.0123,5.61,3.63,1.93,2.57,-0.0287,0.1271,-0.0286,0.0273,-0.2877,-0.27,0.0173,-0.0509,6.6758,0.0153,-0.2516,,,,,,,,,,,,,,,
2006-05-31,9,3,"['CAD', 'NOK', 'GBP']","['AUD', 'JPY', 'CHF']",2.7938,4.6296,0.14,1.1755,0.0418,0.0296,-0.037,0.0249,-0.1558,0.0538,0.1878,0.0126,5.69,3.96,2.05,2.82,-0.0068,0.1394,0.0299,0.0614,-0.3198,-0.2871,-0.0054,-0.0833,6.6491,0.014,-0.2472,,,,,,,,,,,,,,,
2006-06-30,9,3,"['NOK', 'SEK', 'GBP']","['JPY', 'AUD', 'CHF']",2.889,4.7015,0.27,1.302,0.0579,0.0336,-0.0324,0.049,-0.1981,0.0284,0.1732,-0.0201,5.87,4.126,2.11,2.94,-0.026,0.0979,0.0868,0.0521,-0.2975,-0.2985,-0.0147,-0.0889,6.8035,-0.0694,-0.1478,,,,,,,,,,,,,,,
2006-07-31,9,3,"['ZAR', 'SEK', 'GBP']","['EUR', 'JPY', 'AUD']",2.9857,4.735,0.35,1.3727,0.0531,0.0624,-0.018,0.0474,-0.2239,0.0271,0.1883,-0.0186,5.96,4.24,2.21,3.03,0.0114,0.0813,0.0781,0.0536,-0.2694,-0.2799,-0.0563,-0.0774,7.1132,-0.0543,-0.0525,,,,,,,,,,,,,,,
2006-08-31,10,3,"['CAD', 'SEK', 'GBP']","['JPY', 'NOK', 'AUD']",3.1022,4.7332,0.44,1.4277,0.0379,0.0556,-0.0573,0.0181,-0.2084,0.0318,0.1844,0.0055,6.05,4.2,2.28,3.09,0.0126,0.0762,0.0425,0.0091,-0.3082,-0.2622,-0.06,-0.0728,7.2777,-0.114,-0.0652,7.48,-0.0549,-0.2609,,,,,,,,,,,,
2006-09-29,10,3,"['EUR', 'SEK', 'GBP']","['AUD', 'JPY', 'NOK']",3.1022,4.7332,0.44,1.4277,0.0501,0.0606,-0.0365,0.0355,-0.2084,0.0318,0.1844,0.0055,6.05,4.2,2.28,3.09,-0.0197,0.0455,0.057,0.0019,-0.3082,-0.2622,-0.06,-0.0728,7.2777,-0.1807,-0.0652,7.48,-0.0565,-0.2609,,,,,,,,,,,,
2006-10-31,10,3,"['ZAR', 'SEK', 'GBP']","['NZD', 'AUD', 'JPY']",3.3354,5.025,0.436,1.6434,0.0648,0.0789,-0.0027,0.0368,-0.1589,0.0119,0.2169,0.0447,6.21,4.15,2.54,3.37,0.0371,0.0542,0.1027,-0.007,-0.3536,-0.3125,-0.0761,-0.0244,7.7504,-0.0905,-0.112,7.56,-0.0398,-0.3209,,,,,,,,,,,,
2006-11-30,10,3,"['CHF', 'SEK', 'GBP']","['NZD', 'CAD', 'AUD']",3.502,5.1318,0.447,1.7474,0.1231,0.1365,0.0347,0.0973,-0.1516,0.0057,0.2151,0.0545,6.28,4.1575,2.74,3.48,0.066,0.0218,0.181,0.0945,-0.3391,-0.3061,-0.0674,-0.005,8.2215,-0.0933,-0.1605,7.66,-0.0294,-0.3413,,,,,,,,,,,,
2006-12-29,10,3,"['NOK', 'SEK', 'GBP']","['CAD', 'JPY', 'NZD']",3.502,5.1318,0.447,1.7474,0.1137,0.1368,-0.0113,0.0768,-0.1516,0.0057,0.2151,0.0545,6.28,4.1575,2.74,3.48,0.0768,-0.0028,0.1587,0.0811,-0.3391,-0.3061,-0.0674,-0.005,8.2215,-0.0989,-0.1605,7.66,0.0361,-0.3413,,,,,,,,,,,,
2007-01-31,10,3,"['SEK', 'NOK', 'GBP']","['CAD', 'ZAR', 'JPY']",3.6842,5.2917,0.54,1.9084,0.0722,0.104,-0.0283,0.0272,-0.18,-0.0087,0.1909,0.0509,6.39,4.16,3.0,3.8,0.0238,-0.0312,0.0914,0.0635,-0.3012,-0.2762,-0.0884,-0.0351,8.3926,-0.1606,-0.5031,7.66,0.0019,-0.3462,,,,,,,,,,,,
2007-02-28,10,3,"['SEK', 'NOK', 'GBP']","['CAD', 'ZAR', 'JPY']",3.7519,5.4862,0.54,2.0505,0.1088,0.1196,-0.0251,0.0751,-0.1734,-0.0152,0.1772,0.0684,6.43,4.156,3.21,3.98,0.0594,-0.0284,0.1299,0.0997,-0.286,-0.2653,-0.0609,-0.0017,8.7038,-0.1459,-0.4627,7.7,0.0579,-0.3284,,,,,,,,,,,,
2007-03-30,10,3,"['AUD', 'NZD', 'GBP']","['ZAR', 'JPY', 'CAD']",3.7519,5.4862,0.54,2.0505,0.1024,0.1324,0.001,0.0736,-0.1734,-0.0152,0.1772,0.0684,6.43,4.156,3.21,3.98,0.129,0.013,0.1179,0.0778,-0.286,-0.2653,-0.0609,-0.0017,8.7038,-0.1484,-0.4627,7.7,0.1609,-0.3284,,,,,,,,,,,,
2007-04-30,10,3,"['NOK', 'NZD', 'GBP']","['CAD', 'ZAR', 'JPY']",3.8909,5.5495,0.66,2.1599,0.0811,0.0958,-0.0471,0.0263,-0.1929,-0.0002,0.1729,0.0627,6.43,4.1675,3.26,4.43,0.0921,0.0065,0.0974,0.0329,-0.268,-0.2561,-0.0229,-0.0104,8.2815,-0.1496,-0.3759,7.88,0.1615,-0.2984,,,,,,,,,,,,
2007-05-31,10,3,"['AUD', 'NZD', 'GBP']","['JPY', 'ZAR', 'CHF']",3.9753,5.649,0.65,2.2239,0.0499,0.058,-0.0759,-0.006,-0.2001,0.0016,0.1905,0.075,6.48,4.1625,3.34,4.54,0.1036,0.0291,0.0452,0.0087,-0.2952,-0.2833,-0.0408,0.0027,8.28,-0.0532,-0.3559,7.98,0.1647,-0.323,,,,,,,,,,,,
2007-06-29,10,3,"['NOK', 'NZD', 'GBP']","['JPY', 'CHF', 'CAD']",3.9753,5.649,0.65,2.2239,0.0592,0.0857,-0.0706,0.0018,-0.2001,0.0016,0.1905,0.075,6.48,4.1625,3.34,4.54,0.1443,0.0486,0.0548,0.0565,-0.2952,-0.2833,-0.0408,0.0027,8.28,0.0186,-0.3559,7.98,0.2681,-0.323,,,,,,,,,,,,
2007-07-31,10,3,"['AUD', 'GBP', 'NZD']","['CAD', 'JPY', 'CHF']",4.1478,5.8802,0.73,2.4437,0.0712,0.0863,-0.0331,0.0243,-0.1298,-0.0203,0.2496,0.1054,6.42,4.36,3.45,4.75,0.1126,0.06,0.0699,0.0561,-0.288,-0.3264,0.0032,0.0524,9.0164,-0.0314,-0.2839,8.32,0.2334,-0.2754,,,,,,,,,,,,
2007-08-31,10,3,"['GBP', 'NZD', 'NOK']","['CAD', 'JPY', 'CHF']",4.2162,6.024,0.77,2.6117,0.0642,0.0596,0.0145,0.0187,-0.1082,-0.0,0.2763,0.1194,6.47,4.4975,3.53,4.89,0.0721,0.0465,0.0515,0.0837,-0.3639,-0.3504,-0.0235,0.0499,9.0285,0.0092,-0.3123,8.44,0.0721,-0.3386,,,,,,,,,,,,
2007-09-28,10,3,"['NZD', 'ZAR', 'NOK']","['CAD', 'JPY', 'CHF']",4.2162,6.024,0.77,2.6117,0.1264,0.0933,0.0285,0.0752,-0.1082,-0.0,0.2763,0.1194,6.47,4.4975,3.53,4.89,0.1881,0.1242,0.1377,0.2123,-0.3639,-0.3504,-0.0235,0.0499,9.0285,0.1284,-0.3123,8.44,0.1605,-0.3386,,,,,,,,,,,,
2007-10-31,10,3,"['AUD', 'NZD', 'NOK']","['JPY', 'CHF', 'CAD']",4.7417,6.6469,0.85,2.4935,0.1337,0.09,0.0117,0.0727,-0.1212,0.0305,0.2248,0.1108,6.94,3.9975,3.62,5.51,0.2018,0.1843,0.1362,0.2179,-0.3229,-0.3922,-0.0068,0.0312,9.3129,0.1325,-0.318,8.81,0.1503,-0.2334,,,,,,,,,,,,
2007-11-30,10,3,"['AUD', 'NOK', 'NZD']","['JPY', 'SEK', 'CHF']",4.6874,6.2701,0.85,2.4567,0.1045,0.0457,0.0417,0.0584,-0.125,0.0388,0.2244,0.1214,6.91,3.936,3.81,5.67,0.12,0.1425,0.069,0.1098,-0.3705,-0.4467,-0.0126,0.0198,9.7681,0.0497,-0.3078,8.68,0.1179,-0.2425,,,,,,,,,,,,
2007-12-31,10,3,"['AUD', 'NZD', 'NOK']","['SEK', 'CAD', 'JPY']",4.6385,6.4086,0.87,2.295,0.1055,0.0141,0.0666,0.0762,-0.1366,0.0432,0.211,0.103,7.15,3.9625,4.02,5.78,0.1129,0.1675,0.0602,0.1474,-0.3331,-0.4471,-0.0063,0.0423,10.2181,0.0211,-0.2237,8.73,0.0868,-0.2087,,,,,,,,,,,,
2008-01-31,10,3,"['NZD', 'CHF', 'NOK']","['SEK', 'CAD', 'EUR']",4.8484,6.3594,0.86,2.3443,0.1413,0.0139,0.1365,0.1516,-0.1192,0.0574,0.2124,0.1116,7.29,3.8325,4.12,5.96,0.1545,0.1736,0.0919,0.1551,-0.3001,-0.3881,0.013,0.056,10.4752,-0.0343,-0.1361,8.9,0.1419,-0.2018,,,,,,,,,,,,
2008-02-29,10,3,"['CHF', 'AUD', 'NOK']","['SEK', 'CAD', 'ZAR']",4.4815,5.6597,0.85,2.2875,0.1474,0.0125,0.1448,0.1709,-0.0885,0.0829,0.1957,0.1066,7.18,3.582,4.11,5.79,0.1841,0.1854,0.1346,0.1762,-0.2787,-0.3498,0.0241,0.0797,10.4738,-0.078,-0.1025,8.75,0.1392,-0.1504,,,,,,,,,,,,
2008-03-31,14,5,"['SEK', 'JPY', 'PLN', 'CHF', 'NOK']","['CAD', 'TRY', 'GBP', 'AUD', 'HUF']",4.3621,5.642,0.85,2.4175,0.18,0.008,0.1791,0.2213,-0.0663,0.0758,0.194,0.1041,7.69,3.265,4.21,5.91,0.1273,0.1238,0.1721,0.1915,-0.2891,-0.329,0.0356,0.0566,10.3192,-0.1073,0.0343,8.82,0.0973,-0.1488,7.93,15.39,5.94,7.3167,0.0382,0.0415,0.2994,0.1213,0.0283,-0.4146,-0.1896,-0.1202
2008-04-30,14,5,"['HUF', 'JPY', 'CHF', 'ZAR', 'NOK']","['CAD', 'GBP', 'TRY', 'SEK', 'AUD']",4.5964,5.8993,0.84,2.2881,0.1445,-0.0066,0.1495,0.1657,-0.0934,0.0733,0.1612,0.0717,7.9,2.185,4.24,6.18,0.1332,0.1011,0.1207,0.1718,-0.2695,-0.2818,0.0192,0.005,10.1825,-0.0675,0.1212,8.91,0.0552,-0.1396,7.94,15.25,6.15,8.2088,0.0454,0.0779,0.2584,0.1233,0.0351,-0.3253,-0.265,-0.1369
2008-05-30,14,5,"['CHF', 'PLN', 'ZAR', 'NOK', 'HUF']","['CAD', 'GBP', 'AUD', 'SEK', 'NZD']",4.5964,5.8993,0.84,2.2881,0.1559,0.0006,0.1552,0.1756,-0.0934,0.0733,0.1612,0.0717,7.9,2.185,4.24,6.18,0.1533,0.0759,0.1523,0.1831,-0.2695,-0.2818,0.0192,0.005,10.1825,-0.0658,0.1212,8.91,0.0632,-0.1396,7.94,15.25,6.15,8.2088,0.0399,0.0795,0.3076,0.2047,0.0351,-0.3253,-0.265,-0.1369
2008-06-30,14,5,"['JPY', 'MXN', 'CHF', 'ZAR', 'HUF']","['CAD', 'AUD', 'GBP', 'NZD', 'SEK']",4.8574,5.8264,0.84,2.0428,0.1638,-0.0078,0.1613,0.1963,-0.0535,0.0701,0.1857,0.0846,7.75,2.65,4.11,6.48,0.1298,0.0433,0.1353,0.1577,-0.2487,-0.2296,0.0317,-0.0005,10.6032,-0.1039,0.0851,8.71,-0.0122,-0.1012,7.96,15.46,6.48,8.4,0.0495,0.0724,0.3067,0.2192,0.0633,-0.2367,-0.2998,-0.1774
2008-07-31,14,5,"['CHF', 'NOK', 'ZAR', 'TRY', 'HUF']","['CAD', 'NZD', 'AUD', 'JPY', 'GBP']",4.9405,5.9294,0.86,2.1437,0.1397,-0.0226,0.1,0.1465,-0.0426,0.0841,0.1964,0.0675,7.81,2.6125,4.17,6.41,0.1008,0.0424,0.1128,0.1358,-0.2232,-0.182,0.0428,-0.02,11.4196,-0.0232,0.081,8.68,-0.0407,-0.0793,8.1,16.0,6.65,8.87,0.0958,0.114,0.3442,0.2274,0.0324,-0.193,-0.3356,-0.2676
2008-08-29,14,5,"['CHF', 'MXN', 'ZAR', 'HUF', 'TRY']","['CAD', 'AUD', 'GBP', 'NZD', 'JPY']",4.9405,5.9294,0.86,2.1437,0.0765,-0.0971,0.0644,0.0972,-0.0426,0.0841,0.1964,0.0675,7.81,2.6125,4.17,6.41,0.0492,-0.0075,0.0684,0.0754,-0.2232,-0.182,0.0428,-0.02,11.4196,-0.0748,0.081,8.68,-0.0027,-0.0793,8.1,16.0,6.65,8.87,0.0727,0.097,0.2342,0.1614,0.0324,-0.193,-0.3356,-0.2676
2008-09-30,14,5,"['CHF', 'TRY', 'ZAR', 'JPY', 'MXN']","['CAD', 'AUD', 'EUR', 'GBP', 'SEK']",4.9652,5.7662,0.85,2.1834,-0.0107,-0.1289,0.0827,0.0386,-0.0409,0.084,0.2064,0.071,7.31,2.47,4.4,6.53,-0.104,-0.0644,-0.0675,-0.0795,-0.1647,-0.1755,0.0278,-0.0406,11.35,-0.1704,0.0977,8.2,-0.1169,-0.0208,8.71,16.75,6.5,8.3261,0.0002,-0.0497,0.0975,0.025,-0.0246,-0.2247,-0.3514,-0.2921
2008-10-31,14,5,"['SEK', 'CHF', 'ZAR', 'JPY', 'MXN']","['CAD', 'AUD', 'PLN', 'TRY', 'EUR']",5.0192,5.9106,0.87,2.1247,-0.1202,-0.2274,0.1726,0.0012,-0.0296,0.1006,0.1889,0.0568,7.27,2.1175,4.49,6.82,-0.2824,-0.2192,-0.1807,-0.2014,-0.0945,-0.1621,0.0619,-0.0204,11.1488,-0.334,0.113,7.95,-0.2456,-0.0062,8.74,16.75,6.63,8.6179,-0.1701,-0.2432,-0.0973,-0.1363,-0.007,-0.1812,-0.341,-0.2353
2008-11-28,14,5,"['HUF', 'CHF', 'ZAR', 'JPY', 'MXN']","['CAD', 'AUD', 'PLN', 'NZD', 'SEK']",5.0192,5.9106,0.87,2.1247,-0.1327,-0.2519,0.1625,-0.0675,-0.0296,0.1006,0.1889,0.0568,7.27,2.1175,4.49,6.82,-0.2593,-0.1935,-0.2095,-0.2083,-0.0945,-0.1621,0.0619,-0.0204,11.1488,-0.3254,0.113,7.95,-0.2813,-0.0062,8.74,16.75,6.63,8.6179,-0.1885,-0.2422,-0.1714,-0.1604,-0.007,-0.1812,-0.341,-0.2353
2008-12-31,14,5,"['AUD', 'SEK', 'MXN', 'ZAR', 'HUF']","['CAD', 'CHF', 'TRY', 'NOK', 'GBP']",4.2383,4.4468,0.88,0.7003,-0.0419,-0.2625,0.2316,0.0599,0.0203,0.1707,0.0746,0.0311,4.76,1.7825,3.2,6.18,-0.1976,-0.1846,-0.1732,-0.2192,0.1217,-0.0128,0.1383,0.0704,10.8504,-0.2803,0.2628,6.25,-0.2436,0.1214,8.83,16.57,6.56,11.3472,-0.2081,-0.2408,-0.1701,-0.091,0.1086,-0.1406,-0.2356,-0.1039
2009-01-30,14,5,"['HUF', 'SEK', 'NOK', 'MXN', 'ZAR']","['PLN', 'CAD', 'NZD', 'CHF', 'TRY']",4.2383,4.4468,0.88,0.7003,-0.1372,-0.2686,0.1822,-0.068,0.0203,0.1707,0.0746,0.0311,4.76,1.7825,3.2,6.18,-0.2886,-0.1835,-0.2389,-0.2161,0.1217,-0.0128,0.1383,0.0704,10.8504,-0.2662,0.2628,6.25,-0.3534,0.1214,8.83,16.57,6.56,11.3472,-0.2451,-0.287,-0.3032,-0.2451,0.1086,-0.1406,-0.2356,-0.1039
2009-02-27,14,5,"['HUF', 'GBP', 'MXN', 'NOK', 'ZAR']","['PLN', 'CAD', 'SEK', 'AUD', 'NZD']",3.2926,3.1725,0.74,0.1075,-0.1654,-0.2802,0.0633,-0.11,-0.0007,0.2226,0.0246,0.0402,4.39,1.05,1.82,4.64,-0.3143,-0.226,-0.3165,-0.2577,0.13,0.0009,0.1837,0.1047,10.7692,-0.2245,0.2736,5.23,-0.3727,0.1514,8.82,15.63,5.88,11.1826,-0.297,-0.2842,-0.3676,-0.2627,0.1144,-0.148,-0.1799,-0.1417
2009-03-31,14,5,"['JPY', 'GBP', 'TRY', 'MXN', 'ZAR']","['PLN', 'CAD', 'SEK', 'HUF', 'CHF']",1.943,2.0904,0.71,0.11,-0.1587,-0.2758,0.0045,-0.1269,0.017,0.2467,0.0218,0.0095,3.16,0.7275,0.85,3.48,-0.2405,-0.1862,-0.279,-0.242,0.1692,-0.0255,0.1903,-0.018,9.2242,-0.1518,0.2032,3.4,-0.2859,0.2305,7.86,12.61,4.51,9.1361,-0.249,-0.1994,-0.3635,-0.2883,0.1917,-0.0565,-0.0665,0.0088
2009-04-30,14,5,"['GBP', 'JPY', 'TRY', 'MXN', 'ZAR']","['PLN', 'CAD', 'SEK', 'EUR', 'CHF']",1.6355,1.8314,0.65,0.113,-0.1523,-0.2548,0.0508,-0.0919,-0.0224,0.2596,0.0623,0.0069,3.16,0.4075,0.4,3.17,-0.2262,-0.1558,-0.2582,-0.2248,0.1214,-0.0111,0.1904,-0.0051,8.6054,-0.1072,0.2183,3.24,-0.2758,0.1817,7.54,11.03,4.17,9.1736,-0.2412,-0.1995,-0.3392,-0.2588,0.1953,0.0065,-0.0746,0.0474
