ticker,start,end
MCHP,2008-06-30,2014-06-30
MCHP,2017-06-30,
MDB,2024-06-30,2025-06-30
MDLZ,2013-06-30,
MELI,2017-06-30,
META,2022-06-30,
MICC,2008-06-30,2011-06-30
MNST,2008-06-30,2009-06-30
MNST,2012-06-30,
MPWR,2026-06-30,
MRNA,2021-06-30,2025-06-30
MRVL,2008-06-30,2013-06-30
MRVL,2021-06-30,
MSFT,2008-06-30,
MSTR,2025-06-30,
MTCH,2021-06-30,2023-06-30
MU,2011-06-30,
MXIM,2009-06-30,2015-06-30
MXIM,2016-06-30,2022-06-30
MYL,2010-06-30,2020-06-30
NBIS,2026-06-30,
NCLH,2016-06-30,2018-06-30
NFLX,2011-06-30,2013-06-30
NFLX,2014-06-30,
NIHD,2008-06-30,2012-06-30
NTAP,2008-06-30,2017-06-30
NTAP,2019-06-30,2021-06-30
NTES,2016-06-30,2023-06-30
NUAN,2012-06-30,2014-06-30
NVDA,2008-06-30,
NWSA,2009-06-30,2014-06-30
NXPI,2014-06-30,2017-06-30
NXPI,2019-06-30,
ODFL,2022-06-30,
OKTA,2021-06-30,2023-06-30
ON,2023-06-30,2026-06-30
ORCL,2008-06-30,2014-06-30
ORLY,2009-06-30,
PANW,2022-06-30,
PAYX,2008-06-30,
PCAR,2008-06-30,
PCLN,2010-06-30,2018-06-30
PDCO,2008-06-30,2011-06-30
PDD,2021-06-30,
PEP,2019-06-30,
PETM,2008-06-30,2009-06-30
PLTR,2025-06-30,
PPDI,2009-06-30,2010-06-30
PRGO,2012-06-30,2014-06-30
PTON,2021-06-30,2022-06-30
PYPL,2016-06-30,
QCOM,2008-06-30,
QGEN,2010-06-30,2012-06-30
QRTEA,2018-06-30,2019-06-30
QVCA,2015-06-30,2018-06-30
REGN,2013-06-30,
RIMM,2008-06-30,2013-06-30
RKLB,2026-06-30,
ROP,2024-06-30,
ROST,2009-06-30,
RYAAY,2008-06-30,2010-06-30
SBAC,2013-06-30,2017-06-30
SBUX,2008-06-30,
SGEN,2020-06-30,2024-06-30
SHLD,2008-06-30,2014-06-30
SHOP,2025-06-30,
SHPG,2017-06-30,2019-06-30
SIAL,2008-06-30,2016-06-30
SIRI,2008-06-30,2009-06-30
SIRI,2012-06-30,2024-06-30
SNDK,2008-06-30,2009-06-30
SNDK,2010-06-30,2016-06-30
SNDK,2026-06-30,
SNPS,2018-06-30,
SPLK,2020-06-30,2023-06-30
SPLS,2008-06-30,2016-06-30
SRCL,2008-06-30,2017-06-30
STLD,2008-06-30,2010-06-30
STX,2009-06-30,2019-06-30
STX,2026-06-30,
SWKS,2016-06-30,2023-06-30
SYMC,2008-06-30,2020-06-30
TCOM,2020-06-30,2022-06-30
TEAM,2021-06-30,2026-06-30
TER,2026-06-30,
TEVA,2008-06-30,2012-06-30
TMUS,2016-06-30,
TRI,2026-06-30,
TRIP,2014-06-30,2017-06-30
TSCO,2014-06-30,2018-06-30
TSLA,2014-06-30,
TTD,2024-06-30,2026-06-30
TTWO,2018-06-30,2021-06-30
TTWO,2024-06-30,
TXN,2012-06-30,
UAL,2019-06-30,2021-06-30
UAUA,2008-06-30,2009-06-30
ULTA,2016-06-30,2021-06-30
URBN,2009-06-30,2012-06-30
VIAB,2012-06-30,2018-06-30
VIP,2014-06-30,2016-06-30
VMED,2008-06-30,2009-06-30
VMED,2010-06-30,2014-06-30
VOD,2010-06-30,2019-06-30
VRSK,2013-06-30,2026-06-30
VRSN,2008-06-30,2013-06-30
VRSN,2019-06-30,2023-06-30
VRTX,2008-06-30,
WBA,2015-06-30,2025-06-30
WBD,2023-06-30,
WCRX,2009-06-30,2013-06-30
WDAY,2018-06-30,
WDC,2013-06-30,2021-06-30
WDC,2026-06-30,
WFM,2011-06-30,2017-06-30
WFMI,2008-06-30,2009-06-30
WLTW,2019-06-30,2020-06-30
WMT,2026-06-30,
WYNN,2008-06-30,2016-06-30
WYNN,2017-06-30,2020-06-30
XEL,2019-06-30,
XLNX,2008-06-30,2022-06-30
XRAY,2008-06-30,2014-06-30
XRAY,2017-06-30,2019-06-30
YHOO,2008-06-30,2017-06-30
ZM,2020-06-30,2024-06-30
ZS,2022-06-30,2026-06-30
