date,name_zh,name,kind
2018-07-02,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2018-09-25,中秋節翌日,,holiday
2018-10-01,國慶日,National Day,holiday
2018-10-17,重陽節,,holiday
2018-12-25,聖誕節,Christmas,holiday
2018-12-26,聖誕節翌日,Boxing Day,holiday
2019-01-01,元旦,New Year's Day,holiday
2019-02-05,農曆新年,,holiday
2019-02-06,農曆新年,,holiday
2019-02-07,農曆新年,,holiday
2019-04-05,清明節,,holiday
2019-04-19,耶穌受難節,Good Friday,holiday
2019-04-22,復活節星期一,Easter Monday,holiday
2019-05-01,勞動節,Labour Day,holiday
2019-05-13,佛誕補假,,holiday
2019-06-07,端午節,,holiday
2019-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2019-10-01,國慶日,National Day,holiday
2019-10-07,重陽節,,holiday
2019-12-25,聖誕節,Christmas,holiday
2019-12-26,聖誕節翌日,Boxing Day,holiday
2020-01-01,元旦,New Year's Day,holiday
2020-01-27,農曆新年,,holiday
2020-01-28,農曆新年,,holiday
2020-04-10,耶穌受難節,Good Friday,holiday
2020-04-13,復活節星期一,Easter Monday,holiday
2020-04-30,佛誕,,holiday
2020-05-01,勞動節,Labour Day,holiday
2020-06-25,端午節,,holiday
2020-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2020-10-01,國慶日,National Day,holiday
2020-10-02,中秋節翌日,,holiday
2020-10-13,公眾假期,,holiday
2020-10-26,重陽節補假,,holiday
2020-12-25,聖誕節,Christmas,holiday
2021-01-01,元旦,New Year's Day,holiday
2021-02-12,農曆新年,,holiday
2021-02-15,農曆新年,,holiday
2021-04-02,耶穌受難節,Good Friday,holiday
2021-04-05,復活節星期一,Easter Monday,holiday
2021-04-06,清明節補假,,holiday
2021-05-19,佛誕,,holiday
2021-06-14,端午節,,holiday
2021-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2021-09-22,中秋節翌日,,holiday
2021-10-01,國慶日,National Day,holiday
2021-10-13,公眾假期,,holiday
2021-10-14,重陽節,,holiday
2021-12-27,聖誕節補假,Weekend Christmas,holiday
2022-02-01,農曆新年,,holiday
2022-02-02,農曆新年,,holiday
2022-02-03,農曆新年,,holiday
2022-04-05,清明節,,holiday
2022-04-15,耶穌受難節,Good Friday,holiday
2022-04-18,復活節星期一,Easter Monday,holiday
2022-05-02,勞動節,Labour Day,holiday
2022-05-09,佛誕補假,,holiday
2022-06-03,端午節,,holiday
2022-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2022-09-12,中秋節翌日補假,,holiday
2022-10-04,重陽節,,holiday
2022-12-26,聖誕節翌日,Boxing Day,holiday
2022-12-27,聖誕節補假,Weekend Christmas,holiday
2023-01-02,元旦,New Year's Day,holiday
2023-01-23,農曆新年,,holiday
2023-01-24,農曆新年,,holiday
2023-01-25,農曆新年,,holiday
2023-04-05,清明節,,holiday
2023-04-07,耶穌受難節,Good Friday,holiday
2023-04-10,復活節星期一,Easter Monday,holiday
2023-05-01,勞動節,Labour Day,holiday
2023-05-26,佛誕,,holiday
2023-06-22,端午節,,holiday
2023-07-17,公眾假期,,holiday
2023-09-01,颱風蘇拉（八號風球）全日休市,,adhoc
2023-09-08,黑色暴雨全日休市,,adhoc
2023-10-02,國慶日,National Day,holiday
2023-10-23,重陽節,,holiday
2023-12-25,聖誕節,Christmas,holiday
2023-12-26,聖誕節翌日,Boxing Day,holiday
2024-01-01,元旦,New Year's Day,holiday
2024-02-12,農曆新年,,holiday
2024-02-13,農曆新年,,holiday
2024-03-29,耶穌受難節,Good Friday,holiday
2024-04-01,復活節星期一,Easter Monday,holiday
2024-04-04,清明節,,holiday
2024-05-01,勞動節,Labour Day,holiday
2024-05-15,佛誕,,holiday
2024-06-10,端午節,,holiday
2024-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2024-09-06,公眾假期,,holiday
2024-09-18,中秋節翌日,,holiday
2024-10-01,國慶日,National Day,holiday
2024-10-11,重陽節,,holiday
2024-12-25,聖誕節,Christmas,holiday
2024-12-26,聖誕節翌日,Boxing Day,holiday
2025-01-01,元旦,New Year's Day,holiday
2025-01-29,農曆新年,,holiday
2025-01-30,農曆新年,,holiday
2025-01-31,農曆新年,,holiday
2025-04-04,清明節,,holiday
2025-04-18,耶穌受難節,Good Friday,holiday
2025-04-21,復活節星期一,Easter Monday,holiday
2025-05-01,勞動節,Labour Day,holiday
2025-05-05,佛誕,,holiday
2025-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2025-10-01,國慶日,National Day,holiday
2025-10-07,中秋節翌日,,holiday
2025-10-29,重陽節,,holiday
2025-12-25,聖誕節,Christmas,holiday
2025-12-26,聖誕節翌日,Boxing Day,holiday
2026-01-01,元旦,New Year's Day,holiday
2026-02-17,農曆新年,,holiday
2026-02-18,農曆新年,,holiday
2026-02-19,農曆新年,,holiday
2026-04-03,耶穌受難節,Good Friday,holiday
2026-04-06,復活節星期一,Easter Monday,holiday
2026-04-07,清明節補假,,holiday
2026-05-01,勞動節,Labour Day,holiday
2026-05-25,佛誕補假,,holiday
2026-06-19,端午節,,holiday
2026-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2026-10-01,國慶日,National Day,holiday
2026-10-19,重陽節補假,,holiday
2026-12-25,聖誕節,Christmas,holiday
2027-01-01,元旦,New Year's Day,holiday
2027-02-08,農曆新年,,holiday
2027-02-09,農曆新年,,holiday
2027-03-26,耶穌受難節,Good Friday,holiday
2027-03-29,復活節星期一,Easter Monday,holiday
2027-04-05,清明節,,holiday
2027-05-13,佛誕,,holiday
2027-06-09,端午節,,holiday
2027-07-01,香港特區成立紀念日,Hong Kong Special Region Establishment Day,holiday
2027-09-16,中秋節翌日,,holiday
2027-10-01,國慶日,National Day,holiday
2027-10-08,重陽節,,holiday
2027-12-27,聖誕節補假,Weekend Christmas,holiday
