market,date,code,oi,nc_long,nc_short,nc_spread,c_long,c_short,nr_long,nr_short
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-11-16,098662,32813,21645,10818,929,5299,17785,4940,3281
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-11-16,099741,195598,54708,46102,4768,82056,99611,54066,45117
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-16,112741,33423,28915,5470,0,1200,27077,3308,876
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-16,232741,121110,52462,16260,507,36564,86694,31577,17649
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2010-11-23,089741,41873,7107,5,137,26691,41446,7938,285
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-23,090741,105442,36797,14298,151,30250,72936,38244,18057
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-11-23,092741,40065,14709,6198,0,9602,23003,15754,10864
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-11-23,095741,150782,111116,23870,448,31386,123259,7832,3205
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-11-23,096742,93914,35839,25642,665,34087,46798,23323,20809
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-23,097741,129620,51161,23969,872,51366,74625,26221,30154
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-11-23,098662,33749,22491,10188,867,5454,19594,4937,3100
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-11-23,099741,187189,43670,51963,5108,90172,91128,48239,38990
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-23,112741,30969,26095,5026,0,1644,25160,3230,783
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-23,232741,117998,46935,18464,169,40091,83467,30803,15898
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2010-11-30,089741,43401,6779,5,137,28398,42928,8087,331
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-30,090741,100245,30999,11844,937,29282,70943,39027,16521
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-11-30,092741,43600,16240,8416,14,11647,25043,15699,10127
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-11-30,095741,134618,97199,18293,624,30705,113789,6090,1912
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-11-30,096742,85587,24409,29273,897,41148,34219,19133,21198
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-11-30,097741,133069,55791,25785,1097,51521,75586,24660,30601
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-11-30,098662,34435,20115,9387,1443,7766,20640,5111,2965
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-11-30,099741,203930,47264,54512,3853,96865,94867,55948,50698
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-30,112741,27575,22982,4537,0,1301,21802,3292,1236
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-11-30,232741,117302,44794,18151,592,41271,82785,30645,15774
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2010-12-07,089741,51528,8496,0,80,33423,50713,9529,735
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-07,090741,114999,47003,13281,3,28147,85525,39846,16190
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-12-07,092741,42914,18014,9027,5,9920,24795,14975,9087
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-12-07,095741,143823,78102,18620,1631,56856,121413,7234,2159
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-12-07,096742,86269,14242,27162,1716,52143,36262,18168,21129
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-07,097741,132233,47661,24373,720,55384,74207,28468,32933
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-12-07,098662,35071,20044,10584,1911,7480,19471,5636,3105
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-12-07,099741,198099,32322,47612,3554,115122,92641,47101,54292
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-07,112741,27595,22024,3763,166,2185,22194,3220,1472
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-07,232741,127012,53550,10198,522,41937,102478,31003,13814
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2010-12-14,089741,56751,8414,0,80,37324,55987,10933,684
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-14,090741,142291,44840,11444,9726,45814,107497,41911,13624
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-12-14,092741,39804,20794,10078,0,2806,19157,16204,10569
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-12-14,095741,116794,87694,10526,0,22374,105121,6726,1147
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-12-14,096742,67820,12205,20391,0,37905,28386,17710,19043
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-14,097741,96110,34996,22261,0,41019,43890,20095,29959
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-12-14,098662,25202,16322,11209,849,4343,10947,3688,2197
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-12-14,099741,146781,35689,45993,246,63095,50387,47751,50155
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-14,112741,24510,21314,8793,0,985,14758,2211,959
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-14,232741,113584,62670,8892,150,21026,93149,29738,11393
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-21,090741,91294,39665,14717,0,12976,63827,38653,12750
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-12-21,092741,44704,25365,12838,77,2529,22437,16733,9352
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-12-21,095741,116332,89066,11064,0,20862,103930,6404,1338
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-12-21,096742,69207,14579,22011,0,36813,25689,17815,21507
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-21,097741,90072,34243,21714,268,36574,38943,18987,29147
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-12-21,098662,27089,15938,11464,546,5633,12895,4972,2184
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-12-21,099741,156136,38604,52697,671,68741,54908,48120,47860
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-21,112741,25081,17780,10414,0,5150,13326,2151,1341
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-21,232741,115007,69875,9325,117,14331,93481,30684,12084
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2010-12-28,089741,58622,10030,0,2580,45335,55683,677,359
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-28,090741,113223,58142,23355,20,13470,75069,41591,14779
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2010-12-28,092741,46356,24349,10347,90,2446,27467,19471,8452
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2010-12-28,095741,125232,96664,14418,0,21519,109615,7049,1199
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2010-12-28,096742,82141,18294,31415,15,46533,26113,17299,24598
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2010-12-28,097741,109343,49941,20300,219,35204,59053,23979,29771
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2010-12-28,098662,26398,16083,11401,551,5222,12238,4542,2208
EURO FX - CHICAGO MERCANTILE EXCHANGE,2010-12-28,099741,162312,33833,60312,852,80025,52498,47602,48650
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-28,112741,25090,18570,10455,0,3991,13434,2529,1201
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2010-12-28,232741,124005,76857,12541,118,13244,98213,33786,13133
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-01-04,089741,58622,10347,0,2580,45181,55948,514,94
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-04,090741,120758,65421,27073,55,12903,78154,42379,15476
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-01-04,092741,47484,24487,11455,9,2309,28081,20679,7939
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-01-04,095741,118786,91372,17062,0,19581,100190,7833,1534
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-01-04,096742,84270,17494,31627,15,49436,27719,17325,24909
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-04,097741,128483,65924,26859,302,35714,74487,26543,26835
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-01-04,098662,27677,18606,19874,671,4292,4566,4108,2566
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-01-04,099741,163239,37102,61303,1185,77703,52848,47249,47903
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-04,112741,26443,21162,10431,0,2210,15002,3071,1010
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-04,232741,121562,75056,12543,118,13543,96872,32845,12029
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-01-11,089741,58852,10591,0,2580,45181,56164,500,108
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-11,090741,129480,70872,23115,3,12570,89446,46035,16916
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-01-11,092741,42839,20497,9679,23,2443,23955,19876,9182
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-01-11,095741,127917,101710,18138,89,17795,108332,8323,1358
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-01-11,096742,86335,21014,26104,0,46290,34749,19031,25482
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-11,097741,107132,43884,19148,371,39826,57651,23051,29962
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-01-11,098662,36538,23937,13880,1971,4622,18718,6008,1969
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-01-11,099741,202004,42359,87541,1317,108835,58443,49493,54703
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-11,112741,27358,20943,11323,0,2746,15156,3669,879
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-11,232741,113920,64837,11340,117,16020,90574,32946,11889
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-01-18,089741,58911,10010,0,2580,45459,55601,862,730
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-18,090741,128185,67614,23559,48,13829,89185,46694,15393
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-01-18,092741,41839,19711,12719,0,2369,20441,19759,8679
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-01-18,095741,135242,108866,18664,0,17841,114698,8535,1880
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-01-18,096742,90630,31415,25621,38,32530,43587,26647,21384
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-18,097741,110405,46258,25729,436,38744,53151,24967,31089
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-01-18,098662,33014,20226,15016,631,6858,13759,5299,3608
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-01-18,099741,188933,67309,63200,1634,65807,71021,54183,53078
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-18,112741,27636,21224,9977,0,2761,16664,3651,995
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-18,232741,114314,63811,10303,145,17432,90843,32926,13023
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-25,090741,117899,54075,22356,408,16727,81426,46689,13709
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-01-25,092741,40470,17675,11081,18,2981,18863,19796,10508
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-01-25,095741,142786,114979,19734,62,19509,121408,8236,1582
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-01-25,096742,96648,36028,28140,124,31035,46435,29461,21949
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-01-25,097741,116661,54495,22277,480,36405,63818,25281,30086
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-01-25,098662,39190,24258,22834,632,8447,11186,5853,4538
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-01-25,099741,199706,73488,50587,1097,62983,91071,62138,56951
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-25,112741,26199,18507,9880,0,3744,15179,3948,1140
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-01-25,232741,113570,59185,13727,165,23722,85857,30498,13821
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-02-01,089741,59042,10619,0,2580,44461,56417,1382,45
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-01,090741,119488,55186,21372,557,15872,82109,47873,15450
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-02-01,092741,46750,22079,11638,66,2659,24378,21946,10668
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-02-01,095741,151734,123543,20426,32,20100,129964,8059,1312
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-02-01,096742,108587,46923,24264,83,29231,61587,32350,22653
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-01,097741,116384,52648,21167,514,36222,61666,27000,33037
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-02-01,098662,42472,26115,29740,717,9535,7367,6105,4648
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-02-01,099741,211730,80381,40447,2464,65404,111805,63481,57014
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-01,112741,27450,20041,9771,0,3486,16667,3923,1012
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-01,232741,120991,71144,11067,167,15318,95573,34362,14184
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-02-08,089741,62603,13485,0,3755,44784,58716,579,132
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-08,090741,141604,72899,33109,525,17467,93827,50713,14143
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-02-08,092741,47876,22686,14505,0,2041,23558,23149,9813
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-02-08,095741,151871,122615,18803,251,20967,131282,8038,1535
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-02-08,096742,111363,49204,24729,164,30413,65136,31582,21334
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-08,097741,117705,56607,19876,569,34434,63374,26095,33886
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-02-08,098662,44039,27025,34423,774,10609,4573,5631,4269
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-02-08,099741,203541,73502,38768,3521,65994,113877,60524,47375
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-08,112741,27897,20804,9947,0,3468,16994,3625,956
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-08,232741,135334,85741,13762,175,15829,106915,33589,14482
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-02-15,089741,64686,14484,0,3755,45164,60868,1283,63
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-15,090741,140822,77018,4928,131,17558,119384,46115,16379
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-02-15,092741,41934,17467,6949,0,7204,24263,17263,10722
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-02-15,095741,149874,116892,7796,693,24857,139470,7432,1915
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-02-15,096742,132763,68885,16313,187,28577,95012,35114,21251
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-15,097741,116803,24389,42937,488,71070,37558,20856,35820
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-02-15,098662,40052,24358,30118,1523,8600,4938,5571,3473
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-02-15,099741,193304,63395,30931,3356,69268,111581,57285,47436
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-15,112741,27735,18018,8208,0,6570,18389,3147,1138
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-15,232741,122473,70847,5333,685,17094,102368,33847,14087
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-02-22,089741,65444,15844,0,3755,45297,61598,548,91
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-22,090741,140610,72774,4426,126,17913,119042,49797,17016
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-02-22,092741,43931,18326,6035,66,6826,25229,18713,12601
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-02-22,095741,149855,118448,4172,749,22418,142477,8240,2457
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-02-22,096742,123774,53097,17088,208,37732,84835,32737,21643
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-02-22,097741,124016,23457,51203,713,78336,37856,21510,34244
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-02-22,098662,40335,25404,31428,773,8236,4512,5922,3622
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-02-22,099741,207869,77454,31856,3730,68789,122623,57896,49660
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-22,112741,27830,15975,7874,142,8466,18270,3247,1544
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-02-22,232741,125341,72726,6662,842,17645,101838,34128,15999
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-03-01,089741,66447,16235,0,3755,45291,61707,1166,985
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-01,090741,148414,78365,5538,343,16779,123061,52927,19472
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-03-01,092741,57360,29218,11201,96,1976,34891,26070,11172
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-03-01,095741,134821,101537,4335,721,25227,128045,7336,1720
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-03-01,096742,126350,52122,26313,303,38690,77923,35235,21811
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-01,097741,136561,62396,21122,967,47763,79625,25435,34847
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-03-01,098662,46405,29303,36391,778,11707,4891,4617,4345
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-03-01,099741,217066,83104,31796,4271,66564,129694,63127,51305
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-01,112741,26966,15326,7915,142,8738,17260,2760,1649
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-01,232741,135527,80398,8545,1007,17715,110206,36407,15769
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-03-08,089741,65520,13452,0,0,51269,65216,799,304
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-08,090741,174715,81253,3709,753,37451,152641,55258,17612
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-03-08,092741,62936,30841,7180,73,5161,46508,26861,9175
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-03-08,095741,157775,118812,5647,1640,28874,149038,8449,1450
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-03-08,096742,145352,54967,21061,2668,47957,96190,39760,25433
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-08,097741,131247,43205,26549,363,60542,68760,27137,35575
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-03-08,098662,52704,33803,40476,1341,12672,6393,4888,4494
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-03-08,099741,263702,98171,35877,10602,93190,167583,61739,49640
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-08,112741,27699,13467,9121,849,10783,15449,2600,2280
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-08,232741,152865,80756,7061,5180,30380,125660,36549,14964
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-03-15,089741,70451,13665,0,0,55371,69240,1415,1211
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-15,090741,189157,60789,3798,1565,74231,165059,52572,18735
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-03-15,092741,61506,32295,4655,19,3361,45748,25831,11084
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-03-15,095741,161361,130652,9077,141,22795,149716,7773,2427
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-03-15,096742,98181,28580,28805,42,41676,50188,27883,19146
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-15,097741,114701,52603,22373,470,29577,56979,32051,34879
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-03-15,098662,51147,25171,40665,858,19547,5544,5571,4080
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-03-15,099741,190848,86506,40190,1945,44477,108111,57920,40602
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-15,112741,15851,7277,10086,210,5986,3295,2378,2260
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-15,232741,100326,56352,8401,32,12897,74230,31045,17663
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-03-22,089741,87925,13563,0,0,73675,87544,687,381
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-22,090741,118442,49722,3745,0,21588,99515,47132,15182
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-03-22,092741,56786,24883,3582,0,4050,43244,27853,9960
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-03-22,095741,127075,89646,2098,227,28979,122361,8223,2389
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-03-22,096742,117974,53348,23624,0,30235,76858,34391,17492
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-22,097741,112051,52484,17959,247,30066,65912,29254,27933
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-03-22,098662,52822,27308,40917,1110,18757,5147,5647,5648
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-03-22,099741,194709,81574,33221,2035,53020,113015,58080,46438
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-22,112741,13974,6005,7487,212,5713,3736,2044,2539
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-22,232741,101180,59626,7892,5,13863,79549,27686,13734
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-03-29,089741,88144,13172,0,0,74326,87830,646,314
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-29,090741,119128,52886,1641,135,20231,102773,45876,14579
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-03-29,092741,56730,24184,5227,1,6623,42205,25922,9297
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-03-29,095741,129361,91688,3613,227,29260,123919,8186,1602
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-03-29,096742,104506,30077,29334,200,45367,54500,28862,20472
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-03-29,097741,100377,37737,30685,329,33152,38976,29159,30387
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-03-29,098662,52915,27421,41334,967,18686,5031,5841,5583
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-03-29,099741,218177,93031,36401,2150,62196,134511,60800,45115
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-29,112741,13401,6598,6359,216,4356,4767,2231,2059
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-03-29,232741,138638,91791,6226,20,12988,117432,33839,14960
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-04-05,089741,90125,13662,0,126,74056,88110,2281,1889
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-04-05,090741,138257,68876,3846,2,17432,117936,51947,16473
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-04-05,092741,59954,21588,10745,1,12558,40498,25807,8710
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-04-05,095741,158825,126414,7352,8,23925,149905,8478,1560
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-04-05,096742,111219,53796,21382,107,24080,69398,33236,20332
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-05,097741,120632,16516,59747,668,81153,19159,22295,41058
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-04-05,098662,50309,24351,36050,1062,18919,7624,5977,5573
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-04-05,099741,236270,99405,39548,1499,70097,146642,65269,48581
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-04-05,102741,37456,32067,26202,0,4056,11117,1333,137
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-04-05,112741,16197,10129,7434,3,2772,7022,3293,1738
AUSTRALIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-04-05,232741,146108,99390,8452,6,12397,122422,34315,15228
RUSSIAN RUBLE - CHICAGO MERCANTILE EXCHANGE,2011-04-12,089741,83772,12190,0,0,70556,83243,1026,529
CANADIAN DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-04-12,090741,142022,66354,2613,76,22824,123079,52768,16254
SWISS FRANC - CHICAGO MERCANTILE EXCHANGE,2011-04-12,092741,61505,22272,7615,17,11077,44300,28139,9573
MEXICAN PESO - CHICAGO MERCANTILE EXCHANGE,2011-04-12,095741,166619,131688,6842,0,26674,157661,8257,2116
BRITISH POUND STERLING - CHICAGO MERCANTILE EXCHANGE,2011-04-12,096742,120316,53423,26752,24,25408,74300,41461,19240
JAPANESE YEN - CHICAGO MERCANTILE EXCHANGE,2011-04-12,097741,130084,14183,67060,436,95231,18248,20234,44340
U.S. DOLLAR INDEX - ICE FUTURES U.S.,2011-04-12,098662,49843,25479,35260,1060,17790,8186,5514,5337
EURO FX - CHICAGO MERCANTILE EXCHANGE,2011-04-12,099741,243203,105425,40440,1700,69054,151768,67024,49295
BRAZILIAN REAL - CHICAGO MERCANTILE EXCHANGE,2011-04-12,102741,37396,31884,26202,0,4168,11052,1344,142
NEW ZEALAND DOLLAR - CHICAGO MERCANTILE EXCHANGE,2011-04-12,112741,21143,14233,7897,0,3348,11788,3562,1458
